 ,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion,Duration Ign On,Duration Ign Off,Satélites,HDOP,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage
2025-10-02 16:09:05,2025-10-02 16:09:05,,385349,862689070108177,1133,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:10:49,2025-10-02 16:10:49,2025-10-02 16:10:44,385349,862689070108177,1135,GTERI,4.18,00008200,698407,13994,81,00,22,,,14,1,0724,0011,DB39,0929B216,45.0,90,21.2,-22.973450,-43.380538,27.0,,26,0,2,3,,,,,,,,,,,,,,,,1,63.9,87,18.4,-43.386972,-22.973427,2025-10-02 16:08:55,12,26.3
2025-10-02 16:13:49,2025-10-02 16:13:49,2025-10-02 16:13:44,385349,862689070108177,1138,GTERI,4.18,00008200,698407,13906,81,00,22,,,13,1,0724,0011,DB39,0929B216,23.9,347,11.7,-22.972758,-43.385518,28.2,,31,0,2,3,,,,,,,,,,,,,,,,1,57.5,90,28.9,-43.378763,-22.973472,2025-10-02 16:10:56,14,27.2
2025-10-02 16:16:49,2025-10-02 16:16:49,2025-10-02 16:14:40,385349,862689070108177,1140,GTERI,4.18,00008200,698407,13914,81,00,22,,,0,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,18,0,2,3,,,,,,,,,,,,,,,,1,22.9,358,10.3,-43.385492,-22.972378,2025-10-02 16:13:53,13,28.3
2025-10-02 16:17:12,2025-10-02 16:17:12,2025-10-02 16:14:40,385349,862689070108177,1141,GTIGF,4.18,,698407,13834,80,00,11,2012,,0,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 16:17:15,2025-10-02 16:17:15,2025-10-02 16:14:40,385349,862689070108177,1142,GTERI,4.18,00008200,698407,13506,80,00,11,,,4,0,0724,0011,DB39,0929B215,11.4,90,-5.7,-22.971502,-43.385393,28.4,,16,0,2,3,,,,,,,,,,,,,,,,0,11.4,90,-5.7,-43.385393,-22.971502,2025-10-02 16:14:40,4,28.4
2025-10-02 18:11:01,2025-10-02 17:17:14,2025-10-02 16:14:40,385349,862689070108177,1143,GTERI,3.94,00008200,698407,13163,80,00,11,,,4,0,0724,0005,B299,033F040B,11.4,90,-5.7,-22.971502,-43.385393,28.4,,31,0,0,0,,,,,,,,,,,,,,,,0,11.4,90,-5.7,-43.385393,-22.971502,2025-10-02 16:14:40,4,28.4
2025-10-02 18:11:02,2025-10-02 17:29:01,2025-10-02 17:29:00,385349,862689070108177,1146,GTRTL,3.83,,698407,13115,80,00,11,,,4,3,,,,,1.5,45,146.5,-22.969770,-43.383625,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:02,2025-10-02 17:28:15,2025-10-02 17:27:22,385349,862689070108177,1145,GTINF,3.85,,698407,13115,80,00,11,,,,,,,,,,,,,,,,0,0,,,89551808170105429170,1,0,1,+0000,0,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:02,2025-10-02 17:27:22,2025-10-02 17:27:22,385349,862689070108177,1144,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:03,2025-10-02 17:29:01,2025-10-02 17:29:00,385349,862689070108177,1147,GTERI,3.83,00008200,698407,13115,80,00,11,,,4,3,,,,,1.5,45,146.5,-22.969770,-43.383625,28.4,,0,0,0,0,,,,,,,,,,,,,,,,3,1.5,45,146.5,-43.383625,-22.969770,2025-10-02 17:29:00,4,28.4
2025-10-02 18:11:03,2025-10-02 17:29:01,2025-10-02 17:29:00,385349,862689070108177,1147,GTERI,3.83,00008200,698407,13115,80,00,11,,,4,3,,,,,1.5,45,146.5,-22.969770,-43.383625,28.4,,0,0,0,0,,,,,,,,,,,,,,,,3,1.5,45,146.5,-43.383625,-22.969770,2025-10-02 17:29:00,4,28.4
2025-10-02 18:11:43,2025-10-02 17:49:57,2025-10-02 17:29:00,385349,862689070108177,1148,GTIGN,3.83,,698407,12971,81,00,21,,5555,4,3,0724,0005,B299,033F040B,1.5,45,146.5,-22.969770,-43.383625,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:44,2025-10-02 17:56:35,2025-10-02 17:56:34,385349,862689070108177,1155,GTIGF,3.98,,698407,13842,80,00,12,398,,8,0,0724,0005,B299,0341B90A,0.0,310,-40.7,-22.972347,-43.398455,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:44,2025-10-02 17:53:45,2025-10-02 17:53:40,385349,862689070108177,1152,GTERI,3.96,00008200,698407,13898,81,00,22,,,7,1,0724,0005,B299,0341B90A,45.3,270,-37.7,-22.972995,-43.390018,29.1,,31,0,2,28,,,,,,,,,,,,,,,,1,49.6,268,-34.3,-43.389122,-22.973003,2025-10-02 17:53:33,6,29.0
2025-10-02 18:11:44,2025-10-02 17:50:45,2025-10-02 17:50:45,385349,862689070108177,1150,GTERI,3.85,00008200,698407,13914,81,00,22,,,6,1,0724,0005,B299,033F040A,12.6,293,5.7,-22.971342,-43.385877,28.4,,22,0,2,28,,,,,,,,,,,,,,,,1,12.6,293,5.7,-43.385877,-22.971342,2025-10-02 17:50:45,6,28.4
2025-10-02 18:11:45,2025-10-02 17:59:18,2025-10-02 17:59:17,385349,862689070108177,1157,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:45,2025-10-02 17:56:36,2025-10-02 17:56:35,385349,862689070108177,1156,GTERI,3.98,00008200,698407,13115,80,00,12,,,8,1,0724,0005,B299,0341B90A,0.0,310,-40.7,-22.972347,-43.398455,30.0,,31,0,2,28,,,,,,,,,,,,,,,,1,0.0,310,-40.7,-43.398455,-22.972347,2025-10-02 17:56:35,8,30.0
2025-10-02 18:11:46,2025-10-02 18:00:15,2025-10-02 18:00:14,385349,862689070108177,1158,GTRTL,3.86,,698407,13179,80,00,11,,,9,1,0724,0005,B299,033B5409,1.1,9,-40.3,-22.972680,-43.397918,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:47,2025-10-02 18:11:13,2025-10-02 18:11:12,385349,862689070108177,1161,GTRTL,3.81,,698407,13139,80,00,11,,,7,1,0724,0005,B299,033B5409,3.7,232,-18.7,-22.972558,-43.398285,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:47,2025-10-02 18:10:16,2025-10-02 18:10:14,385349,862689070108177,1160,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02 18:11:47,2025-10-02 18:00:15,2025-10-02 18:00:14,385349,862689070108177,1159,GTERI,3.86,00008200,698407,13179,80,00,11,,,9,1,0724,0005,B299,033B5409,1.1,9,-40.3,-22.972680,-43.397918,30.0,,25,0,2,28,,,,,,,,,,,,,,,,1,1.1,9,-40.3,-43.397918,-22.972680,2025-10-02 18:00:14,9,30.0
2025-10-02 18:11:48,2025-10-02 18:11:13,2025-10-02 18:11:12,385349,862689070108177,1162,GTERI,3.81,00008200,698407,13139,80,00,11,,,7,1,0724,0005,B299,033B5409,3.7,232,-18.7,-22.972558,-43.398285,30.0,,27,0,2,28,,,,,,,,,,,,,,,,1,3.7,232,-18.7,-43.398285,-22.972558,2025-10-02 18:11:12,7,30.0
2025-10-02 19:11:09,2025-10-02 19:11:09,2025-10-02 19:09:06,385349,862689070108177,1163,GTERI,3.77,00008200,698407,13091,80,00,11,,,6,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,28,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-02 19:09:06,6,30.0
2025-10-02 20:11:09,2025-10-02 20:11:09,2025-10-02 20:08:48,385349,862689070108177,1164,GTERI,3.75,00008200,698407,13075,80,00,11,,,6,1,0724,0005,B299,033B540A,0.0,232,-18.7,-22.972558,-43.398285,30.0,,25,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-02 20:08:48,6,30.0
2025-10-02 21:11:09,2025-10-02 21:11:09,2025-10-02 21:09:29,385349,862689070108177,1165,GTERI,4.12,00008200,698407,12852,80,00,11,,,5,1,0724,0005,B299,033B540A,0.0,232,-18.7,-22.972558,-43.398285,30.0,,26,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-02 21:09:29,5,30.0
2025-10-02 22:11:09,2025-10-02 22:11:09,2025-10-02 22:09:06,385349,862689070108177,1166,GTERI,4.15,00008200,698407,13051,80,00,11,,,5,1,0724,0005,B299,033B540A,0.0,232,-18.7,-22.972558,-43.398285,30.0,,23,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-02 22:09:06,5,30.0
2025-10-02 23:11:10,2025-10-02 23:11:09,2025-10-02 23:08:57,385349,862689070108177,1167,GTERI,4.05,00008200,698407,13043,80,00,11,,,6,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-02 23:08:57,6,30.0
2025-10-03 00:11:09,2025-10-03 00:11:09,2025-10-03 00:08:56,385349,862689070108177,1168,GTERI,3.94,00008200,698407,13035,80,00,11,,,5,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-03 00:08:56,5,30.0
2025-10-03 01:11:18,2025-10-03 01:11:09,2025-10-03 01:09:17,385349,862689070108177,1169,GTERI,3.83,00008200,698407,13027,80,00,11,,,6,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,21,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-03 01:09:17,6,30.0
2025-10-03 02:11:18,2025-10-03 02:11:09,2025-10-03 02:08:48,385349,862689070108177,1170,GTERI,3.77,00008200,698407,13027,80,00,11,,,5,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-03 02:08:48,5,30.0
2025-10-03 03:11:18,2025-10-03 03:11:09,2025-10-03 03:09:05,385349,862689070108177,1171,GTERI,3.86,00008200,698407,12804,80,00,11,,,7,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-03 03:09:05,7,30.0
2025-10-03 04:32:05,2025-10-03 04:11:09,2025-10-03 04:08:48,385349,862689070108177,1172,GTERI,4.12,00008200,698407,12780,80,00,11,,,5,1,0724,0005,B299,033B5409,0.0,232,-18.7,-22.972558,-43.398285,30.0,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,232,-18.7,-43.398285,-22.972558,2025-10-03 04:08:48,5,30.0
2025-10-03 04:32:06,2025-10-03 04:21:19,2025-10-03 04:21:19,385349,862689070108177,1175,GTERI,4.18,00008200,698407,12764,80,00,11,,,6,1,0724,0005,B299,033B5409,0.9,186,22.5,-22.972685,-43.398022,30.0,,21,0,2,28,,,,,,,,,,,,,,,,1,0.9,186,22.5,-43.398022,-22.972685,2025-10-03 04:21:19,6,30.0
2025-10-03 04:32:06,2025-10-03 04:21:19,2025-10-03 04:21:19,385349,862689070108177,1174,GTRTL,4.18,,698407,12764,80,00,11,,,6,1,0724,0005,B299,033B5409,0.9,186,22.5,-22.972685,-43.398022,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 04:32:06,2025-10-03 04:20:15,2025-10-03 04:20:15,385349,862689070108177,1173,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 04:32:07,2025-10-03 04:31:20,2025-10-03 04:31:20,385349,862689070108177,1176,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 04:32:07,2025-10-03 04:31:20,2025-10-03 04:31:20,385349,862689070108177,1176,GTDOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 04:32:47,2025-10-03 04:32:25,2025-10-03 04:32:25,385349,862689070108177,1178,GTERI,4.20,00008200,698407,12780,80,00,11,,,6,1,0724,0005,B299,033B5409,0.6,244,-43.2,-22.972785,-43.398163,30.0,,23,0,2,28,,,,,,,,,,,,,,,,1,0.6,244,-43.2,-43.398163,-22.972785,2025-10-03 04:32:25,6,30.0
2025-10-03 04:32:47,2025-10-03 04:32:25,2025-10-03 04:32:25,385349,862689070108177,1177,GTRTL,4.20,,698407,12780,80,00,11,,,6,1,0724,0005,B299,033B5409,0.6,244,-43.2,-22.972785,-43.398163,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 05:32:23,2025-10-03 05:32:22,2025-10-03 05:30:01,385349,862689070108177,1179,GTERI,4.09,00008200,698407,13003,80,00,11,,,6,1,0724,0005,B299,0341B909,0.0,244,-43.2,-22.972785,-43.398163,30.0,,23,0,2,28,,,,,,,,,,,,,,,,1,0.0,244,-43.2,-43.398163,-22.972785,2025-10-03 05:30:01,6,30.0
2025-10-03 06:32:24,2025-10-03 06:32:22,2025-10-03 06:30:04,385349,862689070108177,1180,GTERI,3.97,00008200,698407,12995,80,00,11,,,5,1,0724,0005,B299,0341B909,0.0,244,-43.2,-22.972785,-43.398163,30.0,,21,0,2,28,,,,,,,,,,,,,,,,1,0.0,244,-43.2,-43.398163,-22.972785,2025-10-03 06:30:04,5,30.0
2025-10-03 06:58:35,2025-10-03 06:58:34,2025-10-03 06:30:04,385349,862689070108177,1181,GTIGN,3.94,,698407,12844,81,00,22,,9439,5,1,0724,0005,B299,033B5409,0.0,244,-43.2,-22.972785,-43.398163,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03 06:58:57,2025-10-03 06:58:56,2025-10-03 06:58:57,385349,862689070108177,1183,GTERI,3.96,00008200,698407,13666,81,00,22,,,6,1,0724,0005,B299,033B5409,2.8,149,57.9,-22.972587,-43.397935,30.0,,24,0,2,28,,,,,,,,,,,,,,,,1,2.8,149,57.9,-43.397935,-22.972587,2025-10-03 06:58:57,6,30.1
2025-10-03 07:01:53,2025-10-03 07:01:53,2025-10-03 07:01:48,385349,862689070108177,1185,GTERI,4.07,00008200,698407,13930,81,00,22,,,9,1,0724,0005,B299,03363F09,9.9,164,41.7,-22.971205,-43.392755,31.0,,29,0,2,28,,,,,,,,,,,,,,,,1,37.1,47,54.0,-43.398193,-22.971568,2025-10-03 07:00:14,9,30.4
2025-10-03 07:07:17,2025-10-03 07:04:53,2025-10-03 07:04:48,385349,862689070108177,1188,GTERI,4.10,00008200,698407,13890,81,00,22,,,12,1,0724,0005,B299,03363F0A,0.0,83,29.6,-22.973355,-43.388518,31.6,,31,0,0,0,,,,,,,,,,,,,,,,1,43.9,90,24.3,-43.390485,-22.973403,2025-10-03 07:04:20,12,31.5
2025-10-03 07:07:54,2025-10-03 07:07:53,2025-10-03 07:07:48,385349,862689070108177,1190,GTERI,4.12,00008200,698407,13938,81,00,22,,,15,1,0724,0005,B299,03363F0A,19.5,90,18.1,-22.973325,-43.385338,31.9,,21,0,2,28,,,,,,,,,,,,,,,,1,26.5,86,28.3,-43.387722,-22.973375,2025-10-03 07:05:10,12,31.8
