Sequência,veiPlaca,Tipo Dispositivo,IMEI,GNSS UTC Time,Data/Hora Inclusão,Data/Hora Evento,Azimuth,delay,Latitude,Longitude,Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Motion Status,Event Code,Hodômetro Total,RAT,Position Report Type,Tipo Mensagem,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete,Distância,Discrepancia,Distancia esperada
685,QRQ1J66,83,4675739775,2025-06-12 00:35:21,2025-06-12 01:30:38.340,2025-06-12 00:35:21,247.0,3317,-6.809045,-43.01164,12,Válido,0,12372,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
686,QRQ1J66,83,4675739775,2025-06-12 01:35:25,2025-06-12 01:35:25.393,2025-06-12 01:35:25,40.0,0,-6.809019,-43.01167,11,Válido,0,12342,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
687,QRQ1J66,83,4675739775,2025-06-12 02:35:28,2025-06-12 02:44:10.547,2025-06-12 02:35:28,355.0,522,-6.809037,-43.01167,11,Válido,0,12372,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
688,QRQ1J66,83,4675739775,2025-06-12 02:48:57,2025-06-12 02:48:57.483,2025-06-12 02:48:57,172.0,0,-6.809051,-43.01161,12,Válido,0,12342,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
689,QRQ1J66,83,4675739775,2025-06-12 03:49:01,2025-06-12 04:44:18.493,2025-06-12 03:49:01,54.0,3317,-6.808997,-43.01163,16,Válido,0,12372,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
690,QRQ1J66,83,4675739775,2025-06-12 04:49:05,2025-06-12 04:49:05.557,2025-06-12 04:49:05,198.0,0,-6.809041,-43.01165,17,Válido,0,12342,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
691,QRQ1J66,83,4675739775,2025-06-12 05:49:09,2025-06-12 06:44:26.353,2025-06-12 05:49:09,187.0,3317,-6.809029,-43.01168,15,Válido,0,12312,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
692,QRQ1J66,83,4675739775,2025-06-12 06:49:12,2025-06-12 06:49:13.420,2025-06-12 06:49:12,271.0,1,-6.809048,-43.01169,17,Válido,0,12342,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
693,QRQ1J66,83,4675739775,2025-06-12 06:49:22,2025-06-12 07:21:14.987,2025-06-12 07:21:03,271.0,11,-6.809048,-43.01169,17,Inválido,0,13649,0,667,21,21,112.88,0,GTIGN,X,X,,0,,,1901.0,NA_0,3.27,3.27*,0.0
694,QRQ1J66,83,4675739775,2025-06-12 07:24:04,2025-06-12 07:24:05.060,2025-06-12 07:24:04,132.0,1,-6.807931,-43.01208,14,Válido,8,13649,0,761,22,30,113.21,10,10,GTERI,T,T5,1,,2.0,0.0,T5_1,2.86,1.31,4.17
695,QRQ1J66,83,4675739775,2025-06-12 07:27:04,2025-06-12 07:27:05.147,2025-06-12 07:27:04,153.0,1,-6.808023,-43.01218,11,Válido,0,13588,0,761,22,30,113.23,10,10,GTERI,T,T1,1,,0.0,0.0,T1_1,13.28,13.28*,0.0
697,QRQ1J66,83,4675739775,2025-06-12 07:27:19,2025-06-12 07:27:20.023,2025-06-12 07:27:19,153.0,1,-6.808029,-43.01218,11,Válido,0,12859,0,668,12,20,113.23,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
698,QRQ1J66,83,4675739775,2025-06-12 07:32:19,2025-06-12 07:32:20.023,2025-06-12 07:32:19,161.0,1,-6.808048,-43.01218,11,Válido,0,12524,0,760,11,27,113.23,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
699,QRQ1J66,83,4675739775,2025-06-12 07:32:29,2025-06-12 07:34:22.100,2025-06-12 07:34:09,161.0,13,-6.808048,-43.01218,12,Inválido,0,13588,0,667,21,21,113.23,0,GTIGN,X,X,,0,,,100.0,NA_0,3.27,3.27*,0.0
700,QRQ1J66,83,4675739775,2025-06-12 07:37:11,2025-06-12 07:37:11.923,2025-06-12 07:37:11,29.0,0,-6.809061,-43.01151,14,Válido,6,13102,0,761,22,30,113.61,10,10,GTERI,T,T5,2,,4.0,0.0,T5_2,6.98,0.02,7.0
702,QRQ1J66,83,4675739775,2025-06-12 07:37:46,2025-06-12 07:37:46.760,2025-06-12 07:37:46,231.0,0,-6.808821,-43.0115,14,Válido,0,12798,0,668,12,20,113.65,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
703,QRQ1J66,83,4675739775,2025-06-12 07:42:46,2025-06-12 08:06:42.387,2025-06-12 07:42:46,236.0,1436,-6.808812,-43.01151,16,Válido,0,12494,1,760,11,27,113.65,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
704,QRQ1J66,83,4675739775,2025-06-12 07:42:55,2025-06-12 08:06:43.007,2025-06-12 08:06:29,236.0,14,-6.808812,-43.01151,14,Inválido,0,12008,0,667,21,21,113.65,0,GTIGN,X,X,,0,,,1414.0,NA_0,3.27,3.27*,0.0
706,QRQ1J66,83,4675739775,2025-06-12 08:07:13,2025-06-12 08:07:14.207,2025-06-12 08:07:13,307.0,1,-6.80904,-43.01153,17,Válido,0,12737,0,668,12,20,113.66,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
707,QRQ1J66,83,4675739775,2025-06-12 08:09:29,2025-06-12 08:09:30.197,2025-06-12 08:09:29,197.0,1,-6.809082,-43.01153,17,Válido,0,11552,0,667,21,21,113.66,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
708,QRQ1J66,83,4675739775,2025-06-12 08:12:29,2025-06-12 08:12:30.180,2025-06-12 08:12:29,60.0,1,-6.807941,-43.01203,17,Válido,0,13376,0,761,22,30,114.04,10,10,GTERI,T,T10,1,,10.0,0.0,T10_1,5.45,3.02,8.47
710,QRQ1J66,83,4675739775,2025-06-12 08:13:16,2025-06-12 08:13:17.163,2025-06-12 08:13:16,229.0,1,-6.808038,-43.01211,15,Válido,0,12737,0,668,12,20,114.05,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
711,QRQ1J66,83,4675739775,2025-06-12 08:18:16,2025-06-12 08:22:46.260,2025-06-12 08:18:16,313.0,270,-6.808012,-43.01209,16,Válido,0,12524,1,760,11,27,114.05,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
712,QRQ1J66,83,4675739775,2025-06-12 08:25:17,2025-06-12 08:25:18.373,2025-06-12 08:25:17,46.0,1,-6.808025,-43.01215,17,Válido,0,12464,0,760,11,27,114.05,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
713,QRQ1J66,83,4675739775,2025-06-12 08:25:27,2025-06-12 08:29:05.140,2025-06-12 08:28:52,46.0,13,-6.808024,-43.01214,17,Inválido,0,13528,0,667,21,21,114.05,0,GTIGN,X,X,,0,,,205.0,NA_0,3.27,3.27*,0.0
714,QRQ1J66,83,4675739775,2025-06-12 08:31:54,2025-06-12 08:31:55.233,2025-06-12 08:31:54,130.0,1,-6.80907,-43.01162,17,Válido,5,13163,0,761,22,30,114.4,10,10,GTERI,T,T1,2,,0.0,0.0,T1_2,12.48,12.48*,0.0
716,QRQ1J66,83,4675739775,2025-06-12 08:32:35,2025-06-12 08:32:36.080,2025-06-12 08:32:35,269.0,1,-6.809051,-43.01153,17,Válido,0,12798,0,668,12,20,114.42,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
717,QRQ1J66,83,4675739775,2025-06-12 08:37:35,2025-06-12 08:37:36.040,2025-06-12 08:37:35,269.0,1,-6.809058,-43.01151,17,Válido,0,12494,0,760,11,27,114.42,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
718,QRQ1J66,83,4675739775,2025-06-12 08:40:46,2025-06-12 08:40:47.160,2025-06-12 08:40:46,113.0,1,-6.809015,-43.01151,15,Válido,0,11612,0,667,21,21,114.42,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
719,QRQ1J66,83,4675739775,2025-06-12 08:43:46,2025-06-12 08:43:47.140,2025-06-12 08:43:46,339.0,1,-6.80166,-43.01094,15,Válido,46,13376,0,761,22,30,115.27,10,10,GTERI,T,T5,3,,2.0,0.0,T5_3,20.2,6.74,26.94
720,QRQ1J66,83,4675739775,2025-06-12 08:44:45,2025-06-12 08:44:46.613,2025-06-12 08:44:45,357.0,1,-6.794208,-43.01314,13,Válido,70,13376,0,839,Motorista não identificado,Motorista não identificado,116.14,10,Motorista não identificado,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
721,QRQ1J66,83,4675739775,2025-06-12 08:46:46,2025-06-12 08:46:47.143,2025-06-12 08:46:46,333.0,1,-6.784812,-43.01561,16,Válido,0,13193,0,761,22,30,117.32,10,10,GTERI,T,T5,4,,2.0,0.0,T5_4,2.23,2.23*,0.0
722,QRQ1J66,83,4675739775,2025-06-12 08:49:46,2025-06-12 08:49:47.087,2025-06-12 08:49:46,354.0,1,-6.772536,-43.02388,15,Válido,31,13436,0,761,22,30,119.22,10,10,GTERI,T,T5,5,,2.0,0.0,T5_5,14.11,3.45,17.56
723,QRQ1J66,83,4675739775,2025-06-12 08:52:46,2025-06-12 08:52:47.243,2025-06-12 08:52:46,171.0,1,-6.77311,-43.02391,17,Válido,0,13254,0,761,22,30,120.32,10,10,GTERI,T,T10,2,,9.0,0.0,T10_2,18.59,2.97,15.62
724,QRQ1J66,83,4675739775,2025-06-12 08:55:46,2025-06-12 08:55:47.237,2025-06-12 08:55:46,193.0,1,-6.781275,-43.0234,17,Válido,4,12220,0,761,22,30,121.22,10,10,GTERI,T,T1,3,,1.0,0.0,T1_3,3.69,2.25,1.44
725,QRQ1J66,83,4675739775,2025-06-12 08:58:46,2025-06-12 08:58:47.133,2025-06-12 08:58:46,162.0,1,-6.799353,-43.01146,18,Válido,55,13345,0,761,22,30,123.93,10,10,GTERI,T,T1,4,,1.0,0.0,T1_4,4.39,4.39*,14.56
727,QRQ1J66,83,4675739775,2025-06-12 09:00:56,2025-06-12 09:00:57.147,2025-06-12 09:00:56,195.0,1,-6.808831,-43.01145,18,Válido,0,12859,0,668,12,20,125.11,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
728,QRQ1J66,83,4675739775,2025-06-12 09:05:56,2025-06-12 09:05:57.067,2025-06-12 09:05:56,232.0,1,-6.808868,-43.01148,16,Válido,0,12555,0,760,11,27,125.11,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
729,QRQ1J66,83,4675739775,2025-06-12 09:25:44,2025-06-12 09:25:44.943,2025-06-12 09:25:44,50.0,0,-6.808807,-43.01149,15,Válido,0,12494,0,760,11,27,125.11,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
730,QRQ1J66,83,4675739775,2025-06-12 09:25:53,2025-06-12 09:37:54.933,2025-06-12 09:37:41,358.0,13,-6.808814,-43.0115,15,Inválido,0,12251,0,667,21,21,125.11,0,GTIGN,X,X,,0,,,708.0,NA_0,3.27,3.27*,0.0
731,QRQ1J66,83,4675739775,2025-06-12 09:40:43,2025-06-12 09:40:44.537,2025-06-12 09:40:43,340.0,1,-6.786707,-43.01347,15,Válido,46,13436,0,761,22,30,127.67,10,10,GTERI,T,T1,5,,1.0,0.0,T1_5,0.78,0.78*,13.01
732,QRQ1J66,83,4675739775,2025-06-12 09:43:43,2025-06-12 09:43:44.360,2025-06-12 09:43:43,345.0,1,-6.774914,-43.02489,17,Válido,23,13528,0,761,22,30,129.89,10,10,GTERI,T,T1,6,,1.0,0.0,T1_6,2.16,2.16*,6.6
733,QRQ1J66,83,4675739775,2025-06-12 09:44:04,2025-06-12 09:44:04.530,2025-06-12 09:44:04,358.0,0,-6.773016,-43.02501,17,Válido,10,13436,0,839,Motorista não identificado,Motorista não identificado,130.1,10,Motorista não identificado,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
734,QRQ1J66,83,4675739775,2025-06-12 09:46:43,2025-06-12 09:46:44.450,2025-06-12 09:46:43,83.0,1,-6.772993,-43.02509,16,Válido,11,13436,0,761,22,30,130.96,10,10,GTERI,T,T1,7,,1.0,0.0,T1_7,3.03,0.27,2.76
735,QRQ1J66,83,4675739775,2025-06-12 09:49:43,2025-06-12 09:49:44.497,2025-06-12 09:49:43,113.0,1,-6.782151,-43.0217,13,Válido,46,13436,0,761,22,30,132.35,10,10,GTERI,T,T1,8,,1.0,0.0,T1_8,2.14,2.14*,12.92
736,QRQ1J66,83,4675739775,2025-06-12 09:50:42,2025-06-12 09:50:43.383,2025-06-12 09:50:42,120.0,1,-6.78484,-43.01571,16,Inválido,0,729,0,668,12,20,133.0,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
737,QRQ1J66,83,4675739775,2025-06-12 09:50:48,2025-06-12 09:50:49.290,2025-06-12 09:50:48,125.0,1,-6.784921,-43.0156,16,Válido,16,13376,0,667,21,21,133.0,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
738,QRQ1J66,83,4675739775,2025-06-12 09:50:57,2025-06-12 09:50:58.987,2025-06-12 09:50:57,119.0,1,-6.785177,-43.01513,15,Válido,20,608,0,668,12,20,133.05,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
739,QRQ1J66,83,4675739775,2025-06-12 09:50:59,2025-06-12 09:51:00.330,2025-06-12 09:50:59,119.0,1,-6.785237,-43.01502,15,Válido,25,13740,0,667,21,21,133.05,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
740,QRQ1J66,83,4675739775,2025-06-12 09:52:26,2025-06-12 09:52:27.460,2025-06-12 09:52:26,178.0,1,-6.794796,-43.01312,16,Inválido,0,729,0,668,12,20,134.1,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
741,QRQ1J66,83,4675739775,2025-06-12 09:52:35,2025-06-12 09:52:36.340,2025-06-12 09:52:35,157.0,1,-6.796463,-43.01297,16,Inválido,0,4044,0,699,Equipamento Desconectado da Bateria do Veículo,Equipamento Desconectado da Bateria do Veículo,134.1,10,Equipamento Desconectado da Bateria do Veículo,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
742,QRQ1J66,83,4675739775,2025-06-12 09:52:46,2025-06-12 09:52:47.450,2025-06-12 09:52:46,154.0,1,-6.79814,-43.01195,15,Válido,69,4092,0,667,21,21,134.1,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
743,QRQ1J66,83,4675739775,2025-06-12 09:52:55,2025-06-12 09:52:56.347,2025-06-12 09:52:55,161.0,1,-6.798918,-43.0116,16,Válido,12,13406,0,700,Equipamento conectado à Bateria do Veículo,Equipamento conectado à Bateria do Veículo,134.21,10,Equipamento conectado à Bateria do Veículo,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
745,QRQ1J66,83,4675739775,2025-06-12 09:55:03,2025-06-12 09:55:04.363,2025-06-12 09:55:03,234.0,1,-6.808809,-43.01148,15,Válido,0,12707,0,668,12,20,135.44,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
746,QRQ1J66,83,4675739775,2025-06-12 10:00:03,2025-06-12 10:55:20.340,2025-06-12 10:00:03,234.0,3317,-6.808831,-43.01147,15,Válido,0,12524,1,760,11,27,135.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
747,QRQ1J66,83,4675739775,2025-06-12 11:00:06,2025-06-12 11:00:07.163,2025-06-12 11:00:06,0.0,1,-6.808829,-43.01147,13,Válido,0,12494,0,760,11,27,135.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
748,QRQ1J66,83,4675739775,2025-06-12 12:00:09,2025-06-12 12:55:26.110,2025-06-12 12:00:09,215.0,3317,-6.808812,-43.01149,18,Válido,0,12464,1,760,11,27,135.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
749,QRQ1J66,83,4675739775,2025-06-12 13:00:12,2025-06-12 13:00:13.037,2025-06-12 13:00:12,323.0,1,-6.808781,-43.01148,17,Válido,0,12433,0,760,11,27,135.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
750,QRQ1J66,83,4675739775,2025-06-12 14:00:16,2025-06-12 14:31:12.787,2025-06-12 14:00:16,308.0,1856,-6.808839,-43.01148,19,Válido,0,12433,1,760,11,27,135.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
751,QRQ1J66,83,4675739775,2025-06-12 14:00:25,2025-06-12 14:31:13.383,2025-06-12 14:30:47,308.0,26,-6.808839,-43.01148,19,Inválido,0,13528,0,667,21,21,135.44,0,GTIGN,X,X,,0,,,1822.0,NA_0,3.27,3.27*,0.0
752,QRQ1J66,83,4675739775,2025-06-12 14:33:47,2025-06-12 14:33:48.363,2025-06-12 14:33:47,232.0,1,-6.807919,-43.01325,19,Válido,5,13710,0,761,22,30,135.79,10,10,GTERI,T,T5,6,,3.0,0.0,T5_6,23.38,19.55,3.83
754,QRQ1J66,83,4675739775,2025-06-12 14:34:20,2025-06-12 14:34:21.313,2025-06-12 14:34:20,299.0,1,-6.807877,-43.01337,19,Válido,0,12737,0,668,12,20,135.8,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
755,QRQ1J66,83,4675739775,2025-06-12 14:39:20,2025-06-12 14:39:21.287,2025-06-12 14:39:20,299.0,1,-6.80788,-43.01335,20,Válido,0,12494,0,760,11,27,135.8,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
756,QRQ1J66,83,4675739775,2025-06-12 14:42:14,2025-06-12 14:42:14.403,2025-06-12 14:42:14,259.0,0,-6.807883,-43.01335,21,Válido,0,11916,0,667,21,21,135.8,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
758,QRQ1J66,83,4675739775,2025-06-12 14:45:04,2025-06-12 14:45:04.510,2025-06-12 14:45:04,7.0,0,-6.809,-43.01147,21,Válido,0,12737,0,668,12,20,136.11,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
759,QRQ1J66,83,4675739775,2025-06-12 14:46:22,2025-06-12 14:46:22.557,2025-06-12 14:46:22,7.0,0,-6.809,-43.01147,21,Válido,0,11552,0,667,21,21,136.11,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
761,QRQ1J66,83,4675739775,2025-06-12 14:46:41,2025-06-12 14:46:41.563,2025-06-12 14:46:41,7.0,0,-6.809023,-43.01148,22,Válido,0,12798,0,668,12,20,136.11,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
762,QRQ1J66,83,4675739775,2025-06-12 14:51:41,2025-06-12 14:51:41.530,2025-06-12 14:51:41,7.0,0,-6.809017,-43.0115,22,Válido,0,12494,0,760,11,27,136.11,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
763,QRQ1J66,83,4675739775,2025-06-12 14:54:18,2025-06-12 14:54:18.597,2025-06-12 14:54:18,114.0,0,-6.809032,-43.0115,22,Válido,0,11552,0,667,21,21,136.11,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
765,QRQ1J66,83,4675739775,2025-06-12 14:56:15,2025-06-12 14:56:15.550,2025-06-12 14:56:15,272.0,0,-6.807929,-43.01327,22,Válido,0,12737,0,668,12,20,136.44,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
766,QRQ1J66,83,4675739775,2025-06-12 15:01:15,2025-06-12 15:01:15.540,2025-06-12 15:01:15,272.0,0,-6.807934,-43.01329,21,Válido,0,12494,0,760,11,27,136.44,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
767,QRQ1J66,83,4675739775,2025-06-12 15:01:24,2025-06-12 15:03:31.220,2025-06-12 15:03:18,272.0,13,-6.807936,-43.01329,21,Inválido,0,13406,0,667,21,21,136.44,0,GTIGN,X,X,,0,,,114.0,NA_0,3.27,3.27*,0.0
768,QRQ1J66,83,4675739775,2025-06-12 15:06:20,2025-06-12 15:06:21.170,2025-06-12 15:06:20,74.0,1,-6.80792,-43.01326,20,Válido,0,13102,0,761,22,30,136.44,10,10,GTERI,T,T5,7,,2.0,0.0,T5_7,5.15,5.15*,0.0
769,QRQ1J66,83,4675739775,2025-06-12 15:07:14,2025-06-12 15:07:15.003,2025-06-12 15:07:14,346.0,1,-6.807924,-43.01328,20,Válido,0,13072,0,839,Motorista não identificado,Motorista não identificado,136.44,10,Motorista não identificado,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
770,QRQ1J66,83,4675739775,2025-06-12 15:09:20,2025-06-12 15:09:21.157,2025-06-12 15:09:20,97.0,1,-6.808914,-43.01225,21,Válido,5,13011,0,761,22,30,136.65,10,10,GTERI,T,T5,8,,2.0,0.0,T5_8,6.25,3.08,3.17
772,QRQ1J66,83,4675739775,2025-06-12 15:10:30,2025-06-12 15:10:31.120,2025-06-12 15:10:30,16.0,1,-6.809013,-43.01146,21,Válido,0,12737,0,668,12,20,136.75,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
773,QRQ1J66,83,4675739775,2025-06-12 15:15:30,2025-06-12 15:15:31.007,2025-06-12 15:15:30,224.0,1,-6.809008,-43.0115,19,Válido,0,12524,0,760,11,27,136.75,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
774,QRQ1J66,83,4675739775,2025-06-12 15:18:27,2025-06-12 15:18:28.650,2025-06-12 15:18:27,16.0,1,-6.809027,-43.01151,21,Válido,0,11582,0,667,21,21,136.75,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
776,QRQ1J66,83,4675739775,2025-06-12 15:18:46,2025-06-12 15:18:47.230,2025-06-12 15:18:46,234.0,1,-6.808988,-43.01152,20,Válido,0,12646,0,668,12,20,136.76,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
777,QRQ1J66,83,4675739775,2025-06-12 15:23:46,2025-06-12 15:24:40.953,2025-06-12 15:23:46,234.0,54,-6.808983,-43.0115,21,Válido,0,12494,0,760,11,27,136.76,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
778,QRQ1J66,83,4675739775,2025-06-12 15:24:54,2025-06-12 15:24:55.727,2025-06-12 15:24:54,90.0,1,-6.808989,-43.0115,20,Válido,0,11521,0,667,21,21,136.76,10,GTIGN,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
780,QRQ1J66,83,4675739775,2025-06-12 15:26:25,2025-06-12 15:26:25.833,2025-06-12 15:26:25,342.0,0,-6.808756,-43.01146,21,Válido,0,12646,0,668,12,20,136.8,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
781,QRQ1J66,83,4675739775,2025-06-12 15:31:25,2025-06-12 15:37:18.687,2025-06-12 15:31:25,342.0,353,-6.808743,-43.01147,18,Válido,0,12494,1,760,11,27,136.8,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
782,QRQ1J66,83,4675739775,2025-06-12 15:42:05,2025-06-12 15:42:05.663,2025-06-12 15:42:05,310.0,0,-6.808738,-43.01146,19,Válido,0,12494,0,760,11,27,136.8,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
783,QRQ1J66,83,4675739775,2025-06-12 15:42:14,2025-06-12 16:30:50.197,2025-06-12 16:30:22,310.0,28,-6.808738,-43.01146,19,Inválido,0,11582,0,667,21,21,136.8,0,GTIGN,X,X,,0,,,2888.0,NA_0,3.27,3.27*,0.0
