Dispositivo,Dia,Hora_Ignicao,Hora_Desligamento,Data_Hora_IGN,Data_Hora_IGF,Hodometro_IGN,Hodometro_IGF,Distancia_km
Teste,16/10/2025,18:09:57,18:11:53,2025-10-16 18:09:57,2025-10-16 18:11:53,642.6,643.3,0.6999999999999318
Teste,16/10/2025,18:23:43,18:25:09,2025-10-16 18:23:43,2025-10-16 18:25:09,643.3,643.7,0.40000000000009095
Teste,16/10/2025,19:31:13,19:33:32,2025-10-16 19:31:13,2025-10-16 19:33:32,643.7,644.0,0.2999999999999545
Teste,17/10/2025,07:02:46,07:05:11,2025-10-17 07:02:46,2025-10-17 07:05:11,644.0,644.8,0.7999999999999545
Teste,17/10/2025,07:06:24,07:30:14,2025-10-17 07:06:24,2025-10-17 07:30:14,644.8,652.9,8.100000000000023
Teste,17/10/2025,17:22:44,17:57:51,2025-10-17 17:22:44,2025-10-17 17:57:51,652.9,671.0,18.100000000000023
Teste,17/10/2025,17:59:39,18:04:55,2025-10-17 17:59:39,2025-10-17 18:04:55,671.0,672.8,1.7999999999999545
Teste,17/10/2025,18:23:52,18:26:55,2025-10-17 18:23:52,2025-10-17 18:26:55,672.8,673.9,1.1000000000000227
Teste,17/10/2025,18:33:00,18:45:12,2025-10-17 18:33:00,2025-10-17 18:45:12,673.9,679.2,5.300000000000068
Teste,17/10/2025,20:34:58,20:45:35,2025-10-17 20:34:58,2025-10-17 20:45:35,679.2,685.2,6.0
Teste,18/10/2025,16:30:23,16:49:15,2025-10-18 16:30:23,2025-10-18 16:49:15,685.2,694.1,8.899999999999977
Teste,18/10/2025,16:59:01,17:07:55,2025-10-18 16:59:01,2025-10-18 17:07:55,694.1,697.5,3.3999999999999773
Teste,18/10/2025,18:28:39,18:30:35,2025-10-18 18:28:39,2025-10-18 18:30:35,697.5,697.8,0.2999999999999545
Teste,18/10/2025,18:37:03,18:54:05,2025-10-18 18:37:03,2025-10-18 18:54:05,697.8,709.5,11.700000000000045
Teste,19/10/2025,07:37:04,07:45:23,2025-10-19 07:37:04,2025-10-19 07:45:23,709.5,712.8,3.2999999999999545
Teste,19/10/2025,08:39:21,08:47:07,2025-10-19 08:39:21,2025-10-19 08:47:07,712.8,716.7,3.900000000000091
Teste,19/10/2025,08:51:56,09:12:00,2025-10-19 08:51:56,2025-10-19 09:12:00,716.7,725.2,8.5
Teste,19/10/2025,11:10:00,11:15:11,2025-10-19 11:10:00,2025-10-19 11:15:11,725.2,726.6,1.3999999999999773
Teste,19/10/2025,11:19:34,11:21:26,2025-10-19 11:19:34,2025-10-19 11:21:26,726.6,727.1,0.5
Teste,19/10/2025,15:30:12,15:55:23,2025-10-19 15:30:12,2025-10-19 15:55:23,727.1,743.5,16.399999999999977
Teste,19/10/2025,18:24:08,18:27:15,2025-10-19 18:24:08,2025-10-19 18:27:15,743.5,743.5,0.0
Teste,20/10/2025,07:03:11,07:50:39,2025-10-20 07:03:11,2025-10-20 07:50:39,743.5,761.2,17.700000000000045
Referencia,15/10/2025,07:02:46,07:05:30,2025-10-15 07:02:46,2025-10-15 07:05:30,18489.1,18490.0,0.9000000000014552
Referencia,15/10/2025,07:07:26,07:09:44,2025-10-15 07:07:26,2025-10-15 07:09:44,18490.0,18490.7,0.7000000000007276
Referencia,15/10/2025,07:10:56,07:52:05,2025-10-15 07:10:56,2025-10-15 07:52:05,18490.7,18509.9,19.200000000000728
Referencia,15/10/2025,15:47:11,15:52:59,2025-10-15 15:47:11,2025-10-15 15:52:59,18509.9,18512.0,2.099999999998545
Referencia,15/10/2025,17:19:51,17:29:15,2025-10-15 17:19:51,2025-10-15 17:29:15,18512.0,18516.9,4.900000000001455
Referencia,15/10/2025,17:29:39,17:55:43,2025-10-15 17:29:39,2025-10-15 17:55:43,18516.9,18527.3,10.399999999997817
Referencia,15/10/2025,18:02:21,18:12:31,2025-10-15 18:02:21,2025-10-15 18:12:31,18527.3,18533.0,5.700000000000728
Referencia,15/10/2025,18:15:12,18:22:17,2025-10-15 18:15:12,2025-10-15 18:22:17,18533.0,18535.9,2.900000000001455
Referencia,15/10/2025,19:13:19,19:20:55,2025-10-15 19:13:19,2025-10-15 19:20:55,18535.9,18538.5,2.599999999998545
Referencia,16/10/2025,07:00:32,07:03:18,2025-10-16 07:00:32,2025-10-16 07:03:18,18538.5,18539.3,0.7999999999992724
Referencia,16/10/2025,07:05:20,07:43:56,2025-10-16 07:05:20,2025-10-16 07:43:56,18539.3,18555.2,15.900000000001455
Referencia,16/10/2025,09:44:56,09:56:26,2025-10-16 09:44:56,2025-10-16 09:56:26,18555.2,18555.3,0.09999999999854481
Referencia,16/10/2025,15:17:12,15:30:00,2025-10-16 15:17:12,2025-10-16 15:30:00,18555.3,18559.2,3.900000000001455
Referencia,16/10/2025,17:22:52,17:33:00,2025-10-16 17:22:52,2025-10-16 17:33:00,18559.2,18562.5,3.2999999999992724
Referencia,16/10/2025,17:36:34,18:06:30,2025-10-16 17:36:34,2025-10-16 18:06:30,18562.5,18575.7,13.200000000000728
Referencia,16/10/2025,18:09:56,18:11:52,2025-10-16 18:09:56,2025-10-16 18:11:52,18575.7,18576.4,0.7000000000007276
Referencia,16/10/2025,18:23:42,18:25:10,2025-10-16 18:23:42,2025-10-16 18:25:10,18576.4,18576.8,0.3999999999978172
Referencia,16/10/2025,19:31:12,19:33:32,2025-10-16 19:31:12,2025-10-16 19:33:32,18576.8,18577.1,0.2999999999992724
Referencia,17/10/2025,07:02:46,07:05:10,2025-10-17 07:02:46,2025-10-17 07:05:10,18577.1,18577.8,0.7000000000007276
Referencia,17/10/2025,07:06:24,07:30:13,2025-10-17 07:06:24,2025-10-17 07:30:13,18577.8,18585.8,8.0
Referencia,17/10/2025,17:22:45,17:57:50,2025-10-17 17:22:45,2025-10-17 17:57:50,18585.8,18603.8,18.0
Referencia,17/10/2025,17:59:38,18:04:54,2025-10-17 17:59:38,2025-10-17 18:04:54,18603.8,18605.6,1.7999999999992724
Referencia,17/10/2025,18:23:50,18:26:54,2025-10-17 18:23:50,2025-10-17 18:26:54,18605.6,18606.7,1.1000000000021828
Referencia,17/10/2025,18:33:00,18:45:12,2025-10-17 18:33:00,2025-10-17 18:45:12,18606.7,18612.0,5.299999999999272
Referencia,17/10/2025,20:34:58,20:45:34,2025-10-17 20:34:58,2025-10-17 20:45:34,18612.0,18618.0,6.0
Referencia,18/10/2025,16:30:22,16:49:14,2025-10-18 16:30:22,2025-10-18 16:49:14,18618.0,18627.1,9.099999999998545
Referencia,18/10/2025,16:59:00,17:07:54,2025-10-18 16:59:00,2025-10-18 17:07:54,18627.1,18630.4,3.3000000000029104
Referencia,18/10/2025,18:28:40,18:30:36,2025-10-18 18:28:40,2025-10-18 18:30:36,18630.4,18630.8,0.3999999999978172
Referencia,18/10/2025,18:37:04,18:54:04,2025-10-18 18:37:04,2025-10-18 18:54:04,18630.8,18642.3,11.5
Referencia,19/10/2025,07:37:04,07:45:22,2025-10-19 07:37:04,2025-10-19 07:45:22,18642.3,18645.6,3.2999999999992724
Referencia,19/10/2025,08:39:20,08:47:06,2025-10-19 08:39:20,2025-10-19 08:47:06,18645.6,18649.5,3.900000000001455
Referencia,19/10/2025,08:51:56,09:12:00,2025-10-19 08:51:56,2025-10-19 09:12:00,18649.5,18658.1,8.599999999998545
Referencia,19/10/2025,11:09:58,11:15:10,2025-10-19 11:09:58,2025-10-19 11:15:10,18658.1,18659.6,1.5
Referencia,19/10/2025,11:19:34,11:21:26,2025-10-19 11:19:34,2025-10-19 11:21:26,18659.6,18660.1,0.5
Referencia,19/10/2025,15:30:12,15:55:24,2025-10-19 15:30:12,2025-10-19 15:55:24,18660.1,18676.5,16.400000000001455
Referencia,19/10/2025,18:24:08,18:27:16,2025-10-19 18:24:08,2025-10-19 18:27:16,18676.5,18676.5,0.0
Referencia,20/10/2025,07:03:12,07:50:40,2025-10-20 07:03:12,2025-10-20 07:50:40,18676.5,18694.5,18.0
