Match_Type,Match_ID,Diferença de Velocidade,Diferença Angular,Distância,Discrepancia,Distancia esperada,Match_Complete
T10,42,0.0,113.0,4.05,4.05*,0.0,T10_42
T10,43,0.0,113.0,4.05,4.05*,0.0,T10_43
T10,44,0.0,113.0,4.05,4.05*,0.0,T10_44
T10,45,0.0,113.0,4.05,4.05*,0.0,T10_45
T5,27,0.0,113.0,4.05,4.05*,0.0,T5_27
T10,46,0.0,113.0,4.05,4.05*,0.0,T10_46
T10,47,0.0,113.0,4.05,4.05*,0.0,T10_47
T5,28,0.0,74.0,10.76,10.76*,0.0,T5_28
T5,29,0.0,74.0,10.76,10.76*,0.0,T5_29
T5,30,0.0,74.0,10.76,10.76*,0.0,T5_30
T1,7,0.0,74.0,10.76,10.76*,0.0,T1_7
T5,31,0.0,74.0,10.76,10.76*,0.0,T5_31
T1,8,0.0,74.0,10.76,10.76*,0.0,T1_8
T5,32,0.0,74.0,10.76,10.76*,0.0,T5_32
T5,33,0.0,74.0,10.76,10.76*,0.0,T5_33
T5,34,0.0,74.0,10.76,10.76*,0.0,T5_34
T5,35,0.0,74.0,10.76,10.76*,0.0,T5_35
T5,36,0.0,74.0,10.76,10.76*,0.0,T5_36
T1,9,0.0,74.0,10.76,10.76*,0.0,T1_9
T10,48,20.8,61.0,25.29,6.99,32.28,T10_48
T5,37,-5.3,0.0,51.17,4.89,46.28,T5_37
T10,49,-14.9,54.0,10.42,8.2,18.62,T10_49
T1,10,0.0,172.0,9.27,9.27*,0.0,T1_10
T5,38,1.9,1.0,62.97,0.4,62.57,T5_38
T5,39,0.0,9.0,3.24,3.24*,0.0,T5_39
T5,40,13.1,10.0,34.65,1.41,36.06,T5_40
T5,41,3.5,1.0,77.95,1.21,76.74,T5_41
T10,50,-3.0,2.0,2.0,0.92,2.92,T10_50
T10,51,-6.6,47.0,2.09,2.09*,7.33,T10_51
T5,42,0.0,29.0,9.41,9.41*,0.0,T5_42
T5,43,0.6,1.0,63.69,7.36,56.33,T5_43
T5,44,-1.0,1.0,65.4,7.07,58.33,T5_44
T5,45,-2.1,2.0,41.58,5.7,35.88,T5_45
T5,46,-12.9,8.0,20.46,5.08,15.38,T5_46
T10,52,-6.1,53.0,3.8,2.98,6.78,T10_52
T5,47,-2.8,12.0,6.39,5.06,1.33,T5_47
T5,48,15.1,15.0,21.37,2.66,18.71,T5_48
T5,49,1.8,0.0,56.48,3.56,52.92,T5_49
T5,50,1.7,0.0,62.63,2.7,59.93,T5_50
T10,53,-5.6,9.0,2.02,2.02*,4.67,T10_53
T1,11,-18.5,14.0,33.72,33.72*,0.0,T1_11
T10,54,17.9,24.0,81.18,6.06,75.12,T10_54
T5,51,-1.2,21.0,37.59,3.08,40.67,T5_51
T1,12,-9.1,5.0,8.14,1.6,6.54,T1_12
T10,55,-6.4,99.0,5.06,3.83,8.89,T10_55
T10,56,0.0,14.0,4.01,4.01*,0.0,T10_56
T10,57,0.0,14.0,4.01,4.01*,0.0,T10_57
T10,58,3.7,0.0,71.43,2.85,68.58,T10_58
T5,52,0.0,4.0,0.45,0.45*,0.0,T5_52
T5,53,-0.4,2.0,51.29,1.01,50.28,T5_53
T5,54,0.0,14.0,3.22,3.22*,0.0,T5_54
T1,13,0.0,14.0,3.22,3.22*,0.0,T1_13
T1,14,0.0,26.0,2.31,2.31*,0.0,T1_14
T5,55,-0.9,0.0,26.8,0.99,25.81,T5_55
T5,56,-4.8,0.0,50.97,1.03,52.0,T5_56
T5,57,-3.6,5.0,19.13,0.13,19.0,T5_57
T5,58,0.0,73.0,4.81,4.81*,0.0,T5_58
T5,59,0.0,115.0,14.25,14.25*,0.0,T5_59
T1,15,-3.4,29.0,3.91,2.4,6.31,T1_15
T10,59,6.0,20.0,90.34,4.23,86.11,T10_59
T5,60,-1.2,0.0,54.8,0.97,53.83,T5_60
T5,61,1.7,0.0,49.95,1.01,50.96,T5_61
T5,62,1.3,1.0,6.22,0.1,6.12,T5_62
T10,60,-3.5,140.0,1.89,1.03,2.92,T10_60
T10,61,0.0,140.0,4.19,4.19*,0.0,T10_61
