mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,Data/Hora Evento,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Tipo Mensagem,mrvOdometroTotal,mrvOdometro,Unnamed: 20,Match_Type,Match_ID,Message_Category
26361,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:05:40.670,2025-05-08 07:05:40,0,-2326605,-5117234,14,Válido,40,14372,0,737,Velocidade máxima excedida,"80388,2",8669.20,NA,0,X
26362,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:05:49.700,2025-05-08 07:05:49,0,-2326512,-5117232,15,Válido,37,14372,0,871,Retorno à velocidade normal,"80388,3",8669.30,NA,0,X
26363,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:10.883,2025-05-08 07:06:10,0,-2326359,-5117229,15,Válido,41,14332,0,737,Velocidade máxima excedida,"80388,5",8669.50,NA,0,X
26364,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:15.750,2025-05-08 07:06:15,0,-2326306,-5117227,16,Válido,35,14332,0,871,Retorno à velocidade normal,"80388,6",8669.60,NA,0,X
26365,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:19.863,2025-05-08 07:06:19,0,-2326281,-5117216,17,Válido,26,14260,0,904,Posicionamento por mudança de direção,"80388,6",8669.60,NA,0,X
26366,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:26.810,2025-05-08 07:06:26,0,-2326278,-5117151,16,Válido,43,14348,0,737,Velocidade máxima excedida,"80388,7",8669.70,NA,0,X
26367,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:37.820,2025-05-08 07:06:37,0,-2326278,-5117019,17,Válido,37,14340,0,871,Retorno à velocidade normal,"80388,8",8669.80,NA,0,X
26368,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:06:50.903,2025-05-08 07:06:50,0,-2326279,-5116909,17,Válido,42,14340,0,737,Velocidade máxima excedida,"80388,9",8669.90,NA,0,X
26369,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:07:02.980,2025-05-08 07:07:02,0,-2326277,-5116770,15,Válido,33,14316,0,871,Retorno à velocidade normal,"80389,1",8670.10,NA,0,X
26370,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:07:13.940,2025-05-08 07:07:13,0,-2326277,-5116676,17,Válido,42,14308,0,737,Velocidade máxima excedida,"80389,2",8670.20,NA,0,X
26371,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:07:52.100,2025-05-08 07:07:51,1,-2326275,-5116195,14,Válido,27,14316,0,871,Retorno à velocidade normal,"80389,6",8670.60,NA,0,X
26372,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:08:00.097,2025-05-08 07:07:59,1,-2326274,-5116182,15,Válido,16,14316,0,761,GTERI,"80389,7",8670.70,NA,0,X
26373,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:08:13.173,2025-05-08 07:08:12,1,-2326275,-5116025,18,Válido,43,14356,0,737,Velocidade máxima excedida,"80389,8",8670.80,NA,0,X
26374,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:08:40.753,2025-05-08 07:08:40,0,-2326274,-5115694,16,Válido,38,14300,0,871,Retorno à velocidade normal,"80390,2",8671.20,NA,0,X
26375,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:08:45.760,2025-05-08 07:08:43,2,-2326275,-5115664,16,Válido,35,14292,0,904,Posicionamento por mudança de direção,"80390,2",8671.20,NA,0,X
26376,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:08:49.013,2025-05-08 07:08:48,1,-2326304,-5115621,17,Válido,43,14300,0,737,Velocidade máxima excedida,"80390,2",8671.20,NA,0,X
26377,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:09:05.870,2025-05-08 07:09:05,0,-2326465,-5115463,18,Válido,53,14348,0,904,Posicionamento por mudança de direção,"80390,5",8671.50,NA,0,X
26378,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:09:48.997,2025-05-08 07:09:48,0,-2326915,-5115109,17,Válido,44,14316,0,904,Posicionamento por mudança de direção,"80391,1",8672.10,NA,0,X
26379,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:09:51.957,2025-05-08 07:09:51,0,-2326923,-5115078,17,Válido,35,14196,0,871,Retorno à velocidade normal,"80391,1",8672.10,NA,0,X
26380,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:10:13.073,2025-05-08 07:10:12,1,-2326963,-5114947,19,Válido,11,14300,0,904,Posicionamento por mudança de direção,"80391,3",8672.30,NA,0,X
26381,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:10:44.117,2025-05-08 07:10:43,1,-2326991,-5114944,18,Válido,26,14236,0,904,Posicionamento por mudança de direção,"80391,3",8672.30,NA,0,X
26382,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:10:53.397,2025-05-08 07:10:53,0,-2327069,-5114949,19,Válido,36,14220,0,904,Posicionamento por mudança de direção,"80391,4",8672.40,NA,0,X
26383,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:10:58.170,2025-05-08 07:10:58,0,-2327084,-5114912,16,Válido,21,14236,0,904,Posicionamento por mudança de direção,"80391,4",8672.40,NA,0,X
26384,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:11:00.113,2025-05-08 07:10:59,1,-2327084,-5114912,16,Válido,21,14116,0,761,GTERI,"80391,4",8672.40,NA,0,X
26385,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:11:33.817,2025-05-08 07:11:33,0,-2327064,-5114877,18,Válido,28,14244,0,904,Posicionamento por mudança de direção,"80391,5",8672.50,NA,0,X
26386,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:11:46.057,2025-05-08 07:11:45,1,-2326981,-5114819,19,Válido,38,14236,0,904,Posicionamento por mudança de direção,"80391,6",8672.60,NA,0,X
26387,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:11:51.860,2025-05-08 07:11:51,0,-2326928,-5114802,19,Válido,39,14268,0,904,Posicionamento por mudança de direção,"80391,7",8672.70,NA,0,X
26388,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:11:53.940,2025-05-08 07:11:53,0,-2326912,-5114785,19,Válido,43,14284,0,737,Velocidade máxima excedida,"80391,7",8672.70,NA,0,X
26389,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:12:02.890,2025-05-08 07:12:02,0,-2326869,-5114694,16,Válido,35,14276,0,871,Retorno à velocidade normal,"80391,8",8672.80,NA,0,X
26390,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:12:04.907,2025-05-08 07:12:04,0,-2326867,-5114676,16,Válido,34,14276,0,904,Posicionamento por mudança de direção,"80391,8",8672.80,NA,0,X
26391,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:13:18.180,2025-05-08 07:13:18,0,-2326872,-5114104,18,Válido,6,14036,0,904,Posicionamento por mudança de direção,"80392,4",8673.40,NA,0,X
26392,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:13:21.143,2025-05-08 07:13:21,0,-2326863,-5114101,17,Válido,16,14140,0,904,Posicionamento por mudança de direção,"80392,4",8673.40,NA,0,X
26393,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:13:30.740,2025-05-08 07:13:30,0,-2326782,-5114111,15,Válido,43,14124,0,737,Velocidade máxima excedida,"80392,5",8673.50,NA,0,X
26394,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:13:35.707,2025-05-08 07:13:35,0,-2326730,-5114110,15,Válido,35,14092,0,871,Retorno à velocidade normal,"80392,6",8673.60,NA,0,X
26395,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:14:22.710,2025-05-08 07:13:59,23,-2326577,-5114110,14,Válido,40,14060,0,761,GTERI,"80392,8",8673.80,NA,0,X
26396,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:14:23.240,2025-05-08 07:14:03,20,-2326525,-5114098,15,Válido,19,14044,0,904,Posicionamento por mudança de direção,"80392,8",8673.80,NA,0,X
26397,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:14:23.600,2025-05-08 07:14:16,7,-2326533,-5113976,18,Válido,41,14116,0,737,Velocidade máxima excedida,"80392,9",8673.90,NA,0,X
26398,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:14:28.820,2025-05-08 07:14:28,0,-2326532,-5113840,16,Válido,32,14132,0,871,Retorno à velocidade normal,"80393,1",8674.10,NA,0,X
26399,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:14:43.950,2025-05-08 07:14:43,0,-2326533,-5113823,17,Válido,7,14100,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26400,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:01.967,2025-05-08 07:15:01,0,-2326536,-5113797,16,Válido,8,14036,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26401,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:04.023,2025-05-08 07:15:03,1,-2326533,-5113796,15,Válido,7,14100,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26402,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:08.027,2025-05-08 07:15:07,1,-2326532,-5113797,17,Válido,3,13828,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26403,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:46.677,2025-05-08 07:15:46,0,-2326535,-5113793,16,Válido,5,13996,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26404,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:52.667,2025-05-08 07:15:52,0,-2326530,-5113811,17,Válido,9,13948,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26405,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:15:55.847,2025-05-08 07:15:55,0,-2326540,-5113816,17,Válido,19,14044,0,904,Posicionamento por mudança de direção,"80393,1",8674.10,NA,0,X
26406,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:16:00.773,2025-05-08 07:16:00,0,-2326587,-5113817,17,Válido,43,13996,0,737,Velocidade máxima excedida,"80393,2",8674.20,NA,0,X
26408,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:31.943,2025-05-08 07:17:31,0,-2327749,-5113866,17,Válido,36,14036,0,871,Retorno à velocidade normal,"80394,5",8675.50,NA,0,X
26409,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:35.937,2025-05-08 07:17:35,0,-2327775,-5113885,17,Válido,38,14012,0,904,Posicionamento por mudança de direção,"80394,5",8675.50,NA,0,X
26410,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:42.013,2025-05-08 07:17:41,1,-2327822,-5113909,18,Válido,33,14076,0,904,Posicionamento por mudança de direção,"80394,6",8675.60,NA,0,X
26411,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:47.057,2025-05-08 07:17:46,1,-2327862,-5113880,16,Válido,38,14028,0,904,Posicionamento por mudança de direção,"80394,6",8675.60,NA,0,X
26412,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:52.107,2025-05-08 07:17:51,1,-2327905,-5113861,17,Válido,40,14004,0,904,Posicionamento por mudança de direção,"80394,7",8675.70,NA,0,X
26413,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:17:53.263,2025-05-08 07:17:52,1,-2327916,-5113861,17,Válido,42,14004,0,737,Velocidade máxima excedida,"80394,7",8675.70,NA,0,X
26414,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:19:32.997,2025-05-08 07:19:32,0,-2329172,-5113893,18,Válido,33,14060,0,871,Retorno à velocidade normal,"80396,1",8677.10,NA,0,X
26415,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:19:55.940,2025-05-08 07:19:55,0,-2329286,-5113907,18,Válido,13,13980,0,904,Posicionamento por mudança de direção,"80396,2",8677.20,NA,0,X
26416,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:20:00.107,2025-05-08 07:19:59,1,-2329286,-5113907,18,Válido,13,14052,0,761,GTERI,"80396,2",8677.20,NA,0,X
26417,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:21:39.037,2025-05-08 07:21:38,1,-2329291,-5114315,16,Válido,42,13996,0,737,Velocidade máxima excedida,"80396,6",8677.60,NA,0,X
26418,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:22:52.110,2025-05-08 07:22:51,1,-2329283,-5115338,17,Válido,35,13908,0,871,Retorno à velocidade normal,"80397,7",8678.70,NA,0,X
26419,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:23:00.110,2025-05-08 07:22:59,1,-2329283,-5115365,17,Válido,17,13804,0,761,GTERI,"80397,7",8678.70,NA,0,X
26420,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:24:05.230,2025-05-08 07:24:04,1,-2329285,-5115480,18,Válido,41,13932,0,737,Velocidade máxima excedida,"80397,8",8678.80,NA,0,X
26421,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:24:41.873,2025-05-08 07:24:41,0,-2329281,-5116038,17,Válido,35,13852,0,871,Retorno à velocidade normal,"80398,4",8679.40,NA,0,X
26422,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:25:16.020,2025-05-08 07:25:15,1,-2329275,-5116177,17,Válido,43,13892,0,737,Velocidade máxima excedida,"80398,5",8679.50,NA,0,X
26423,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:26:00.200,2025-05-08 07:25:59,1,-2329269,-5116746,17,Válido,45,13876,0,761,GTERI,"80399,2",8680.20,NA,0,X
26424,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:26:01.017,2025-05-08 07:26:00,1,-2329267,-5116800,17,Válido,36,13876,0,871,Retorno à velocidade normal,"80399,2",8680.20,NA,0,X
26425,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:26:04.993,2025-05-08 07:26:04,0,-2329268,-5116845,17,Válido,44,13820,0,737,Velocidade máxima excedida,"80399,2",8680.20,NA,0,X
26426,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:26:24.030,2025-05-08 07:26:23,1,-2329261,-5117119,17,Válido,45,13772,0,904,Posicionamento por mudança de direção,"80399,5",8680.50,NA,0,X
26427,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:26:29.063,2025-05-08 07:26:28,1,-2329250,-5117173,17,Válido,36,13732,0,871,Retorno à velocidade normal,"80399,6",8680.60,NA,0,X
26428,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:28:27.007,2025-05-08 07:28:26,1,-2329226,-5117324,17,Válido,11,13796,0,904,Posicionamento por mudança de direção,"80399,7",8680.70,NA,0,X
26429,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:28:46.900,2025-05-08 07:28:46,0,-2329371,-5117334,16,Válido,41,13844,0,737,Velocidade máxima excedida,"80399,9",8680.90,NA,0,X
26430,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:28:51.943,2025-05-08 07:28:51,0,-2329424,-5117333,14,Válido,36,13828,0,871,Retorno à velocidade normal,"80399,9",8680.90,NA,0,X
26432,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:29:57.240,2025-05-08 07:29:56,1,-2329800,-5117345,16,Válido,40,13812,0,737,Velocidade máxima excedida,"80400,3",8681.30,NA,0,X
26433,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:00.103,2025-05-08 07:29:59,1,-2329829,-5117345,15,Válido,39,13796,0,871,Retorno à velocidade normal,"80400,4",8681.40,NA,0,X
26434,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:23.220,2025-05-08 07:30:23,0,-2329941,-5117370,16,Válido,24,13788,0,904,Posicionamento por mudança de direção,"80400,5",8681.50,NA,0,X
26435,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:32.730,2025-05-08 07:30:32,0,-2330002,-5117355,15,Válido,26,13716,0,904,Posicionamento por mudança de direção,"80400,6",8681.60,NA,0,X
26436,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:35.773,2025-05-08 07:30:35,0,-2330016,-5117369,17,Válido,26,13692,0,904,Posicionamento por mudança de direção,"80400,6",8681.60,NA,0,X
26437,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:43.773,2025-05-08 07:30:43,0,-2330025,-5117453,15,Válido,42,13724,0,737,Velocidade máxima excedida,"80400,7",8681.70,NA,0,X
26438,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:30:50.810,2025-05-08 07:30:50,0,-2330034,-5117529,16,Válido,27,13684,0,871,Retorno à velocidade normal,"80400,8",8681.80,NA,0,X
26442,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:33:46.907,2025-05-08 07:33:46,0,-2330089,-5117901,15,Válido,13,13676,0,904,Posicionamento por mudança de direção,"80401,2",8682.20,NA,0,X
26443,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:33:58.820,2025-05-08 07:33:58,0,-2330162,-5117919,16,Válido,26,13700,0,904,Posicionamento por mudança de direção,"80401,2",8682.20,NA,0,X
26444,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:35:00.273,2025-05-08 07:34:59,1,-2330211,-5117911,15,Válido,12,13836,0,761,GTERI,"80401,3",8682.30,NA,0,X
26445,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:36:45.993,2025-05-08 07:36:45,0,-2330403,-5117883,16,Válido,44,13796,0,737,Velocidade máxima excedida,"80401,5",8682.50,NA,0,X
26446,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:36:54.730,2025-05-08 07:36:54,0,-2330501,-5117866,16,Válido,38,13732,0,871,Retorno à velocidade normal,"80401,6",8682.60,NA,0,X
26447,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:38:00.197,2025-05-08 07:37:59,1,-2330906,-5117812,17,Válido,17,13772,0,761,GTERI,"80402,1",8683.10,NA,0,X
26448,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:38:05.943,2025-05-08 07:38:05,0,-2330985,-5117802,16,Válido,41,13772,0,737,Velocidade máxima excedida,"80402,1",8683.10,NA,0,X
26449,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:38:31.973,2025-05-08 07:38:30,1,-2331273,-5117761,17,Válido,38,13724,0,871,Retorno à velocidade normal,"80402,5",8683.50,NA,0,X
26450,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:39:33.420,2025-05-08 07:39:32,1,-2331424,-5117745,17,Válido,10,13692,0,904,Posicionamento por mudança de direção,"80402,6",8683.60,NA,0,X
26451,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:39:40.297,2025-05-08 07:39:40,0,-2331464,-5117767,16,Válido,28,13668,0,904,Posicionamento por mudança de direção,"80402,7",8683.70,NA,0,X
26452,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:39:42.730,2025-05-08 07:39:42,0,-2331486,-5117751,17,Válido,31,13700,0,904,Posicionamento por mudança de direção,"80402,7",8683.70,NA,0,X
26453,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:39:49.700,2025-05-08 07:39:49,0,-2331541,-5117725,17,Válido,40,13708,0,904,Posicionamento por mudança de direção,"80402,8",8683.80,NA,0,X
26454,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:39:50.740,2025-05-08 07:39:50,0,-2331552,-5117724,17,Válido,43,13708,0,737,Velocidade máxima excedida,"80402,8",8683.80,NA,0,X
26455,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:40:01.780,2025-05-08 07:40:01,0,-2331678,-5117706,17,Válido,33,13660,0,871,Retorno à velocidade normal,"80402,9",8683.90,NA,0,X
26456,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:40:54.920,2025-05-08 07:40:54,0,-2331955,-5117671,17,Válido,42,13724,0,737,Velocidade máxima excedida,"80403,3",8684.30,NA,0,X
26457,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:00.290,2025-05-08 07:40:59,1,-2331964,-5117668,16,Válido,42,13652,0,761,GTERI,"80403,3",8684.30,NA,0,X
26458,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:05.717,2025-05-08 07:41:02,3,-2332036,-5117659,15,Válido,39,13627,0,871,Retorno à velocidade normal,"80403,3",8684.30,NA,0,X
26459,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:07.943,2025-05-08 07:41:07,0,-2332085,-5117657,13,Válido,40,13627,0,737,Velocidade máxima excedida,"80403,4",8684.40,NA,0,X
26460,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:12.910,2025-05-08 07:41:12,0,-2332137,-5117648,16,Válido,38,13652,0,871,Retorno à velocidade normal,"80403,4",8684.40,NA,0,X
26461,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:21.003,2025-05-08 07:41:17,4,-2332186,-5117638,17,Válido,43,13676,0,737,Velocidade máxima excedida,"80403,5",8684.50,NA,0,X
26462,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:34.993,2025-05-08 07:41:34,0,-2332385,-5117612,16,Válido,36,13668,0,871,Retorno à velocidade normal,"80403,7",8684.70,NA,0,X
26463,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:42.017,2025-05-08 07:41:41,1,-2332446,-5117630,17,Válido,31,13652,0,904,Posicionamento por mudança de direção,"80403,8",8684.80,NA,0,X
26464,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:41:57.063,2025-05-08 07:41:56,1,-2332477,-5117678,17,Válido,17,13700,0,904,Posicionamento por mudança de direção,"80403,9",8684.90,NA,0,X
26465,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:42:07.157,2025-05-08 07:42:06,1,-2332524,-5117677,16,Válido,24,13740,0,904,Posicionamento por mudança de direção,"80403,9",8684.90,NA,0,X
26469,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:43:13.780,2025-05-08 07:43:13,0,-2332704,-5117735,15,Válido,41,13756,0,737,Velocidade máxima excedida,"80404,1",8685.10,NA,0,X
26470,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:43:25.133,2025-05-08 07:43:24,1,-2332820,-5117746,15,Válido,38,13668,0,871,Retorno à velocidade normal,"80404,3",8685.30,NA,0,X
26471,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:44:05.230,2025-05-08 07:43:59,6,-2332900,-5117751,13,Válido,7,13627,0,761,GTERI,"80404,4",8685.40,NA,0,X
