Sequência,veiPlaca,veiid,GNSS UTC Time,mrvDataHoraInc,Data/Hora Evento,Azimuth,Latitude,Longitude,Velocidade,Bateria (V),Tipo Mensagem,Message_Category,Match_Type,Match_ID,Tempo de fix,Match_Complete
2170,TDD0A35,212794,2025-05-06 08:48:10,2025-05-06 09:04:13.120,2025-05-06 09:04:12,347.00000,-12.08721,-45.77044,0,12467,GTIGN,X,NA,0,962.0,NA_0
2172,TDD0A35,212794,2025-05-06 09:04:19,2025-05-06 09:04:21.157,2025-05-06 09:04:20,162.00000,-12.08727,-45.77044,3,13814,GTERI,T,T1,4,1.0,T1_4
2175,TDD0A35,212794,2025-05-06 09:07:15,2025-05-06 09:07:23.327,2025-05-06 09:07:20,264.00000,-12.08947,-45.78223,45,14022,GTERI,T,T5,9,5.0,T5_9
2178,TDD0A35,212794,2025-05-06 09:10:15,2025-05-06 09:10:21.020,2025-05-06 09:10:20,81.00000,-12.08738,-45.76568,55,13185,GTERI,T,T5,10,5.0,T5_10
2180,TDD0A35,212794,2025-05-06 09:13:15,2025-05-06 09:13:21.107,2025-05-06 09:13:20,82.00000,-12.08397,-45.74015,65,14053,GTERI,T,T5,11,5.0,T5_11
2183,TDD0A35,212794,2025-05-06 09:16:15,2025-05-06 09:21:29.273,2025-05-06 09:16:20,82.00000,-12.08046,-45.71335,59,13527,GTERI,T,T5,12,5.0,T5_12
2184,TDD0A35,212794,2025-05-06 09:19:15,2025-05-06 09:22:10.427,2025-05-06 09:19:20,82.00000,-12.07607,-45.68002,84,12938,GTERI,T,T5,13,5.0,T5_13
2185,TDD0A35,212794,2025-05-06 09:22:15,2025-05-06 09:22:21.117,2025-05-06 09:22:20,82.00000,-12.07155,-45.64568,79,12993,GTERI,T,T5,14,5.0,T5_14
2188,TDD0A35,212794,2025-05-06 09:25:15,2025-05-06 09:25:21.113,2025-05-06 09:25:20,82.00000,-12.06629,-45.60587,85,13001,GTERI,T,T5,15,5.0,T5_15
2190,TDD0A35,212794,2025-05-06 09:27:33,2025-05-06 09:27:35.093,2025-05-06 09:27:34,13.00000,-12.06344,-45.58450,0,14022,GTIGF,X,NA,0,1.0,NA_0
2191,TDD0A35,212794,2025-05-06 09:27:34,2025-05-06 09:27:36.110,2025-05-06 09:27:34,13.00000,-12.06344,-45.58450,0,14022,GTERI,T,T5,16,0.0,T5_16
2192,TDD0A35,212794,2025-05-06 09:27:34,2025-05-06 09:42:53.023,2025-05-06 09:42:52,13.00000,-12.06344,-45.58450,0,12667,GTIGN,X,NA,0,918.0,NA_0
2195,TDD0A35,212794,2025-05-06 09:42:59,2025-05-06 09:43:01.070,2025-05-06 09:43:00,191.00000,-12.06343,-45.58451,1,12746,GTERI,T,T1,5,1.0,T1_5
2197,TDD0A35,212794,2025-05-06 09:45:55,2025-05-06 09:46:01.277,2025-05-06 09:46:00,191.00000,-12.06345,-45.58449,0,14014,GTERI,T,T1,6,5.0,T1_6
2200,TDD0A35,212794,2025-05-06 09:48:55,2025-05-06 09:49:01.820,2025-05-06 09:49:00,191.00000,-12.06345,-45.58449,0,13998,GTERI,T,T5,17,5.0,T5_17
2202,TDD0A35,212794,2025-05-06 09:51:55,2025-05-06 09:52:01.820,2025-05-06 09:52:00,191.00000,-12.06345,-45.58449,0,14045,GTERI,T,T5,18,5.0,T5_18
2205,TDD0A35,212794,2025-05-06 09:54:55,2025-05-06 09:55:01.070,2025-05-06 09:55:00,191.00000,-12.06345,-45.58449,0,14022,GTERI,T,T5,19,5.0,T5_19
2207,TDD0A35,212794,2025-05-06 09:57:55,2025-05-06 09:58:08.840,2025-05-06 09:58:00,191.00000,-12.06345,-45.58449,0,14022,GTERI,T,T5,20,5.0,T5_20
2211,TDD0A35,212794,2025-05-06 10:00:55,2025-05-06 10:01:01.097,2025-05-06 10:01:00,202.00000,-12.06392,-45.58447,15,14085,GTERI,T,T5,21,5.0,T5_21
2213,TDD0A35,212794,2025-05-06 10:03:55,2025-05-06 10:04:01.137,2025-05-06 10:04:00,5.00000,-12.05441,-45.57768,80,13041,GTERI,T,T5,22,5.0,T5_22
2216,TDD0A35,212794,2025-05-06 10:06:55,2025-05-06 10:07:01.353,2025-05-06 10:07:00,5.00000,-12.02812,-45.57523,101,13041,GTERI,T,T1,7,5.0,T1_7
2218,TDD0A35,212794,2025-05-06 10:09:55,2025-05-06 11:40:56.110,2025-05-06 10:10:00,342.00000,-11.98232,-45.58375,107,13017,GTERI,T,T5,23,5.0,T5_23
2219,TDD0A35,212794,2025-05-06 10:12:55,2025-05-06 11:40:59.367,2025-05-06 10:13:00,342.00000,-11.93953,-45.59751,100,13017,GTERI,T,T1,8,5.0,T1_8
2220,TDD0A35,212794,2025-05-06 10:15:55,2025-05-06 11:41:40.310,2025-05-06 10:16:00,342.00000,-11.89477,-45.61184,98,13001,GTERI,T,T5,24,5.0,T5_24
2221,TDD0A35,212794,2025-05-06 10:18:55,2025-05-06 11:41:41.177,2025-05-06 10:19:00,6.00000,-11.84727,-45.61449,110,13017,GTERI,T,T1,9,5.0,T1_9
2222,TDD0A35,212794,2025-05-06 10:21:55,2025-05-06 11:41:41.887,2025-05-06 10:22:00,6.00000,-11.80151,-45.60904,100,13464,GTERI,T,T5,25,5.0,T5_25
2223,TDD0A35,212794,2025-05-06 10:22:20,2025-05-06 11:41:42.833,2025-05-06 10:22:20,354.00000,-11.79478,-45.60913,120,13001,Velocidade máxima excedida,X,NA,0,0.0,NA_0
2224,TDD0A35,212794,2025-05-06 10:22:28,2025-05-06 11:41:43.500,2025-05-06 10:22:28,355.00000,-11.79239,-45.60933,119,14077,Retorno à velocidade normal,X,NA,0,0.0,NA_0
2226,TDD0A35,212794,2025-05-06 10:22:44,2025-05-06 11:44:18.013,2025-05-06 10:22:44,354.00000,-11.78773,-45.60977,121,13009,Velocidade máxima excedida,X,NA,0,0.0,NA_0
2227,TDD0A35,212794,2025-05-06 10:22:51,2025-05-06 11:44:20.200,2025-05-06 10:22:51,354.00000,-11.78562,-45.60995,116,14061,Retorno à velocidade normal,X,NA,0,0.0,NA_0
2229,TDD0A35,212794,2025-05-06 10:24:55,2025-05-06 11:44:21.680,2025-05-06 10:25:00,6.00000,-11.75323,-45.61131,100,12993,GTERI,T,T5,26,5.0,T5_26
2230,TDD0A35,212794,2025-05-06 10:27:55,2025-05-06 11:44:22.090,2025-05-06 10:28:00,6.00000,-11.70864,-45.60598,105,12993,GTERI,T,T1,10,5.0,T1_10
2231,TDD0A35,212794,2025-05-06 10:30:55,2025-05-06 11:44:23.387,2025-05-06 10:31:00,6.00000,-11.66050,-45.60018,106,13001,GTERI,T,T5,27,5.0,T5_27
2232,TDD0A35,212794,2025-05-06 10:33:55,2025-05-06 11:44:24.770,2025-05-06 10:34:00,5.00000,-11.62341,-45.59566,0,14045,GTERI,T,T5,28,5.0,T5_28
2234,TDD0A35,212794,2025-05-06 10:36:55,2025-05-06 11:44:26.880,2025-05-06 10:37:00,280.00000,-11.61990,-45.61348,68,14045,GTERI,T,T1,11,5.0,T1_11
2235,TDD0A35,212794,2025-05-06 10:39:55,2025-05-06 11:44:27.887,2025-05-06 10:40:00,293.00000,-11.60899,-45.63008,42,13169,GTERI,T,T5,29,5.0,T5_29
2236,TDD0A35,212794,2025-05-06 10:42:55,2025-05-06 11:44:29.460,2025-05-06 10:43:00,115.00000,-11.60799,-45.63228,30,14061,GTERI,T,T1,12,5.0,T1_12
2237,TDD0A35,212794,2025-05-06 10:45:55,2025-05-06 11:44:35.870,2025-05-06 10:46:00,101.00000,-11.61816,-45.62256,54,13591,GTERI,T,T1,13,5.0,T1_13
2238,TDD0A35,212794,2025-05-06 10:48:54,2025-05-06 11:44:36.767,2025-05-06 10:49:00,101.00000,-11.62294,-45.59775,55,14053,GTERI,T,T5,30,6.0,T5_30
2239,TDD0A35,212794,2025-05-06 10:51:55,2025-05-06 11:44:37.487,2025-05-06 10:52:00,186.00000,-11.65996,-45.60013,106,13001,GTERI,T,T5,31,5.0,T5_31
2240,TDD0A35,212794,2025-05-06 10:54:55,2025-05-06 11:44:39.877,2025-05-06 10:55:00,187.00000,-11.70871,-45.60602,103,13001,GTERI,T,T5,32,5.0,T5_32
2241,TDD0A35,212794,2025-05-06 10:57:55,2025-05-06 11:44:41.287,2025-05-06 10:58:00,186.00000,-11.75772,-45.61188,105,13009,GTERI,T,T1,14,5.0,T1_14
2242,TDD0A35,212794,2025-05-06 10:59:25,2025-05-06 11:44:43.243,2025-05-06 10:59:26,174.00000,-11.78169,-45.61034,120,13894,Velocidade máxima excedida,X,NA,0,1.0,NA_0
2243,TDD0A35,212794,2025-05-06 10:59:33,2025-05-06 11:44:44.840,2025-05-06 10:59:34,176.00000,-11.78410,-45.61013,119,14125,Retorno à velocidade normal,X,NA,0,1.0,NA_0
2245,TDD0A35,212794,2025-05-06 11:00:55,2025-05-06 11:44:47.167,2025-05-06 11:01:00,186.00000,-11.80572,-45.60958,99,13009,GTERI,T,T5,33,5.0,T5_33
2247,TDD0A35,212794,2025-05-06 11:03:55,2025-05-06 11:44:48.983,2025-05-06 11:04:00,266.00000,-11.83588,-45.62130,84,13001,GTERI,T,T5,34,5.0,T5_34
2249,TDD0A35,212794,2025-05-06 11:06:55,2025-05-06 11:44:51.540,2025-05-06 11:07:00,284.00000,-11.82983,-45.66269,97,13001,GTERI,T,T5,35,5.0,T5_35
2251,TDD0A35,212794,2025-05-06 11:07:43,2025-05-06 11:44:54.000,2025-05-06 11:07:44,284.00000,-11.82713,-45.67309,77,14037,GTERI,T,NA,0,1.0,NA_0
2253,TDD0A35,212794,2025-05-06 11:10:36,2025-05-06 11:44:55.903,2025-05-06 11:10:40,288.00000,-11.82433,-45.68375,0,14014,GTERI,T,NA,0,4.0,NA_0
2254,TDD0A35,212794,2025-05-06 11:13:36,2025-05-06 11:44:56.377,2025-05-06 11:13:40,284.00000,-11.81417,-45.72295,101,13009,GTERI,T,NA,0,4.0,NA_0
2255,TDD0A35,212794,2025-05-06 11:16:36,2025-05-06 11:44:57.350,2025-05-06 11:16:40,284.00000,-11.80228,-45.76870,106,13009,GTERI,T,NA,0,4.0,NA_0
2256,TDD0A35,212794,2025-05-06 11:19:36,2025-05-06 11:44:58.223,2025-05-06 11:19:40,284.00000,-11.79080,-45.81272,88,14077,GTERI,T,NA,0,4.0,NA_0
2257,TDD0A35,212794,2025-05-06 11:22:36,2025-05-06 11:44:58.890,2025-05-06 11:22:40,184.00000,-11.82403,-45.82019,103,12993,GTERI,T,NA,0,4.0,NA_0
2258,TDD0A35,212794,2025-05-06 11:25:36,2025-05-06 11:44:59.737,2025-05-06 11:25:40,183.00000,-11.87035,-45.82363,98,13009,GTERI,T,NA,0,4.0,NA_0
2259,TDD0A35,212794,2025-05-06 11:28:36,2025-05-06 11:45:41.247,2025-05-06 11:28:40,160.00000,-11.91016,-45.81985,91,13432,GTERI,T,NA,0,4.0,NA_0
2260,TDD0A35,212794,2025-05-06 11:31:36,2025-05-06 11:45:42.563,2025-05-06 11:31:40,164.00000,-11.94773,-45.80664,90,13001,GTERI,T,NA,0,4.0,NA_0
2261,TDD0A35,212794,2025-05-06 11:34:36,2025-05-06 11:45:44.220,2025-05-06 11:34:40,217.00000,-11.98656,-45.80211,97,13551,GTERI,T,NA,0,4.0,NA_0
2262,TDD0A35,212794,2025-05-06 11:37:36,2025-05-06 11:45:45.023,2025-05-06 11:37:40,172.00000,-12.01768,-45.80173,89,13001,GTERI,T,NA,0,4.0,NA_0
2263,TDD0A35,212794,2025-05-06 11:40:36,2025-05-06 11:45:45.727,2025-05-06 11:40:40,172.00000,-12.05312,-45.79700,60,14061,GTERI,T,NA,0,4.0,NA_0
2266,TDD0A35,212794,2025-05-06 11:43:36,2025-05-06 11:45:47.573,2025-05-06 11:43:40,139.00000,-12.06956,-45.79501,34,13974,GTERI,T,NA,0,4.0,NA_0
2268,TDD0A35,212794,2025-05-06 11:46:36,2025-05-06 11:46:42.440,2025-05-06 11:46:40,223.00000,-12.08242,-45.79163,15,13041,GTERI,T,NA,0,4.0,NA_0
2270,TDD0A35,212794,2025-05-06 11:49:36,2025-05-06 11:49:43.240,2025-05-06 11:49:40,82.00000,-12.08352,-45.78244,37,14101,GTERI,T,NA,0,4.0,NA_0
2273,TDD0A35,212794,2025-05-06 11:52:36,2025-05-06 11:52:44.223,2025-05-06 11:52:40,83.00000,-12.08984,-45.78359,36,13041,GTERI,T,NA,0,4.0,NA_0
2275,TDD0A35,212794,2025-05-06 11:55:36,2025-05-06 11:55:41.993,2025-05-06 11:55:40,84.00000,-12.09452,-45.77272,35,14356,GTERI,T,NA,0,4.0,NA_0
2277,TDD0A35,212794,2025-05-06 11:56:20,2025-05-06 11:56:23.120,2025-05-06 11:56:20,179.00000,-12.09752,-45.77199,0,14077,GTIGF,X,NA,0,0.0,NA_0
2278,TDD0A35,212794,2025-05-06 11:56:21,2025-05-06 11:56:23.890,2025-05-06 11:56:21,179.00000,-12.09752,-45.77199,0,14101,GTERI,T,T5,36,0.0,T5_36
2279,TDD0A35,212794,2025-05-06 12:53:58,2025-05-06 12:56:25.240,2025-05-06 12:56:20,179.00000,-12.09752,-45.77199,0,12985,GTERI,T,T10,1,142.0,T10_1
2280,TDD0A35,212794,2025-05-06 13:53:58,2025-05-06 13:54:12.540,2025-05-06 13:54:08,179.00000,-12.09752,-45.77199,0,12706,GTIGN,X,NA,0,10.0,NA_0
2283,TDD0A35,212794,2025-05-06 13:54:16,2025-05-06 13:54:17.637,2025-05-06 13:54:16,51.00000,-12.09755,-45.77193,2,13639,GTERI,T,T1,15,0.0,T1_15
2285,TDD0A35,212794,2025-05-06 13:57:11,2025-05-06 13:57:17.020,2025-05-06 13:57:15,351.00000,-12.08943,-45.77490,38,14524,GTERI,T,T5,37,4.0,T5_37
2288,TDD0A35,212794,2025-05-06 14:00:11,2025-05-06 14:00:16.900,2025-05-06 14:00:15,81.00000,-12.08767,-45.77298,21,12985,GTERI,T,T5,38,4.0,T5_38
2289,TDD0A35,212794,2025-05-06 14:00:44,2025-05-06 14:00:45.917,2025-05-06 14:00:44,85.00000,-12.08742,-45.77078,0,14014,GTIGF,X,NA,0,0.0,NA_0
2290,TDD0A35,212794,2025-05-06 14:00:45,2025-05-06 14:00:46.417,2025-05-06 14:00:45,85.00000,-12.08742,-45.77078,0,14022,GTERI,T,T5,39,0.0,T5_39
2291,TDD0A35,212794,2025-05-06 14:00:45,2025-05-06 14:22:58.180,2025-05-06 14:22:56,85.00000,-12.08742,-45.77078,0,12691,GTIGN,X,NA,0,1331.0,NA_0
2294,TDD0A35,212794,2025-05-06 14:23:04,2025-05-06 14:23:05.973,2025-05-06 14:23:04,156.00000,-12.08741,-45.77083,6,13663,GTERI,T,T1,16,0.0,T1_16
2296,TDD0A35,212794,2025-05-06 14:25:56,2025-05-06 14:26:01.923,2025-05-06 14:26:00,352.00000,-12.08422,-45.77940,47,14069,GTERI,T,T10,2,4.0,T10_2
2299,TDD0A35,212794,2025-05-06 14:28:56,2025-05-06 14:29:02.057,2025-05-06 14:29:00,28.00000,-12.08175,-45.78385,13,13025,GTERI,T,T10,3,4.0,T10_3
2301,TDD0A35,212794,2025-05-06 14:31:56,2025-05-06 14:32:02.200,2025-05-06 14:32:00,349.00000,-12.07882,-45.79334,30,13615,GTERI,T,T10,4,4.0,T10_4
2304,TDD0A35,212794,2025-05-06 14:34:56,2025-05-06 14:37:31.687,2025-05-06 14:35:00,348.00000,-12.06160,-45.79574,40,14468,GTERI,T,T10,5,4.0,T10_5
2306,TDD0A35,212794,2025-05-06 14:37:56,2025-05-06 17:06:08.207,2025-05-06 14:38:00,352.00000,-12.04088,-45.79854,79,13017,GTERI,T,T10,6,4.0,T10_6
2309,TDD0A35,212794,2025-05-06 14:40:56,2025-05-06 17:11:51.960,2025-05-06 14:41:00,353.00000,-12.00046,-45.80400,73,14045,GTERI,T,T10,7,4.0,T10_7
2310,TDD0A35,212794,2025-05-06 14:43:56,2025-05-06 17:11:53.363,2025-05-06 14:44:00,342.00000,-11.97239,-45.79904,80,14077,GTERI,T,T10,8,4.0,T10_8
2312,TDD0A35,212794,2025-05-06 14:46:56,2025-05-06 17:12:00.737,2025-05-06 14:47:00,232.00000,-11.95941,-45.81453,9,13998,GTERI,T,T10,9,4.0,T10_9
2314,TDD0A35,212794,2025-05-06 14:47:33,2025-05-06 17:12:03.960,2025-05-06 14:47:34,154.00000,-11.96169,-45.81356,37,14101,GTERI,T,NA,0,1.0,NA_0
2315,TDD0A35,212794,2025-05-06 14:50:27,2025-05-06 17:12:04.760,2025-05-06 14:50:31,285.00000,-11.95734,-45.82167,43,14077,GTERI,T,NA,0,4.0,NA_0
2316,TDD0A35,212794,2025-05-06 14:53:27,2025-05-06 17:12:05.343,2025-05-06 14:53:31,154.00000,-11.96087,-45.83476,39,14061,GTERI,T,NA,0,4.0,NA_0
2317,TDD0A35,212794,2025-05-06 14:56:27,2025-05-06 17:12:06.980,2025-05-06 14:56:31,193.00000,-11.97697,-45.82690,0,14006,GTERI,T,NA,0,4.0,NA_0
2318,TDD0A35,212794,2025-05-06 14:59:27,2025-05-06 17:12:07.713,2025-05-06 14:59:27,295.00000,-11.98545,-45.84543,0,13870,GTIGF,X,NA,0,0.0,NA_0
2319,TDD0A35,212794,2025-05-06 14:59:28,2025-05-06 17:12:08.480,2025-05-06 14:59:28,295.00000,-11.98545,-45.84543,0,13448,GTERI,T,T5,40,0.0,T5_40
2322,TDD0A35,212794,2025-05-06 15:48:28,2025-05-06 17:12:51.463,2025-05-06 15:48:29,288.00000,-11.98543,-45.84545,0,12993,GTERI,T,NA,0,1.0,NA_0
2323,TDD0A35,212794,2025-05-06 15:48:28,2025-05-06 17:12:52.003,2025-05-06 16:12:10,288.00000,-11.98543,-45.84545,1,12762,GTIGN,X,NA,0,1422.0,NA_0
2326,TDD0A35,212794,2025-05-06 16:12:19,2025-05-06 17:12:53.357,2025-05-06 16:12:19,68.00000,-11.98546,-45.84535,6,13759,GTERI,T,T5,41,0.0,T5_41
2327,TDD0A35,212794,2025-05-06 16:15:12,2025-05-06 17:12:54.000,2025-05-06 16:15:16,157.00000,-11.99899,-45.83870,0,13982,GTERI,T,T5,42,4.0,T5_42
2328,TDD0A35,212794,2025-05-06 16:18:12,2025-05-06 17:12:55.643,2025-05-06 16:18:16,157.00000,-11.99899,-45.83870,0,13974,GTERI,T,T5,43,4.0,T5_43
2330,TDD0A35,212794,2025-05-06 16:21:12,2025-05-06 17:12:57.117,2025-05-06 16:21:16,337.00000,-11.99704,-45.83965,0,13982,GTERI,T,T5,44,4.0,T5_44
2331,TDD0A35,212794,2025-05-06 16:24:12,2025-05-06 17:12:57.800,2025-05-06 16:24:16,337.00000,-11.99704,-45.83965,0,13958,GTERI,T,T5,45,4.0,T5_45
2333,TDD0A35,212794,2025-05-06 16:27:12,2025-05-06 17:12:59.217,2025-05-06 16:27:16,333.00000,-11.99636,-45.83999,0,13966,GTERI,T,T5,46,4.0,T5_46
2334,TDD0A35,212794,2025-05-06 16:30:12,2025-05-06 17:13:00.557,2025-05-06 16:30:16,333.00000,-11.99636,-45.83999,0,13974,GTERI,T,T5,47,4.0,T5_47
2335,TDD0A35,212794,2025-05-06 16:33:12,2025-05-06 17:13:00.937,2025-05-06 16:33:16,333.00000,-11.99636,-45.83999,0,13958,GTERI,T,T5,48,4.0,T5_48
2336,TDD0A35,212794,2025-05-06 16:36:12,2025-05-06 17:13:02.887,2025-05-06 16:36:16,333.00000,-11.99636,-45.83999,0,13958,GTERI,T,T5,49,4.0,T5_49
2337,TDD0A35,212794,2025-05-06 16:39:12,2025-05-06 17:13:03.323,2025-05-06 16:39:16,333.00000,-11.99636,-45.83999,0,13950,GTERI,T,T5,50,4.0,T5_50
2338,TDD0A35,212794,2025-05-06 16:42:12,2025-05-06 17:13:04.280,2025-05-06 16:42:16,333.00000,-11.99636,-45.83999,0,13950,GTERI,T,T5,51,4.0,T5_51
2339,TDD0A35,212794,2025-05-06 16:45:12,2025-05-06 17:13:05.097,2025-05-06 16:45:16,333.00000,-11.99636,-45.83999,0,13958,GTERI,T,T5,52,4.0,T5_52
2341,TDD0A35,212794,2025-05-06 16:48:12,2025-05-06 17:13:10.150,2025-05-06 16:48:16,333.00000,-11.99636,-45.83999,0,13974,GTERI,T,T5,53,4.0,T5_53
2345,TDD0A35,212794,2025-05-06 16:49:18,2025-05-06 17:13:17.267,2025-05-06 16:49:19,0.00000,-11.99638,-45.84001,0,13950,GTERI,T,NA,0,1.0,NA_0
2347,TDD0A35,212794,2025-05-06 16:52:12,2025-05-06 17:13:19.933,2025-05-06 16:52:17,64.00000,-11.98230,-45.83829,75,14014,GTERI,T,NA,0,5.0,NA_0
2348,TDD0A35,212794,2025-05-06 16:55:12,2025-05-06 17:13:21.797,2025-05-06 16:55:17,334.00000,-11.96169,-45.83438,67,14029,GTERI,T,NA,0,5.0,NA_0
2349,TDD0A35,212794,2025-05-06 16:58:12,2025-05-06 17:13:23.663,2025-05-06 16:58:17,105.00000,-11.95924,-45.81475,62,14045,GTERI,T,NA,0,5.0,NA_0
2350,TDD0A35,212794,2025-05-06 17:01:12,2025-05-06 17:14:11.657,2025-05-06 17:01:17,162.00000,-11.97737,-45.79750,86,13854,GTERI,T,NA,0,5.0,NA_0
2353,TDD0A35,212794,2025-05-06 17:04:12,2025-05-06 17:14:16.243,2025-05-06 17:04:17,172.00000,-12.00488,-45.80346,75,12834,GTERI,T,NA,0,5.0,NA_0
2355,TDD0A35,212794,2025-05-06 17:07:11,2025-05-06 17:14:18.117,2025-05-06 17:07:17,172.00000,-12.04271,-45.79836,66,13926,GTERI,T,NA,0,6.0,NA_0
2357,TDD0A35,212794,2025-05-06 17:10:11,2025-05-06 17:14:21.870,2025-05-06 17:10:17,171.00000,-12.06188,-45.79582,39,13384,GTERI,T,NA,0,6.0,NA_0
2359,TDD0A35,212794,2025-05-06 17:13:12,2025-05-06 17:14:23.930,2025-05-06 17:13:17,172.00000,-12.07740,-45.79388,17,12922,GTERI,T,NA,0,5.0,NA_0
2361,TDD0A35,212794,2025-05-06 17:16:12,2025-05-06 17:16:17.657,2025-05-06 17:16:17,84.00000,-12.08211,-45.78619,0,14053,GTERI,T,NA,0,5.0,NA_0
2365,TDD0A35,212794,2025-05-06 17:19:12,2025-05-06 17:19:18.680,2025-05-06 17:19:17,85.00000,-12.08822,-45.77908,19,12962,GTERI,T,NA,0,5.0,NA_0
2367,TDD0A35,212794,2025-05-06 17:21:12,2025-05-06 17:21:13.623,2025-05-06 17:21:13,356.00000,-12.08730,-45.77058,0,14022,GTIGF,X,NA,0,1.0,NA_0
2368,TDD0A35,212794,2025-05-06 17:21:13,2025-05-06 17:21:14.183,2025-05-06 17:21:14,356.00000,-12.08730,-45.77058,0,14022,GTERI,T,T5,54,1.0,T5_54
2369,TDD0A35,212794,2025-05-06 17:21:13,2025-05-06 17:51:25.677,2025-05-06 17:51:11,356.00000,-12.08730,-45.77058,0,12770,GTIGN,X,NA,0,1798.0,NA_0
2372,TDD0A35,212794,2025-05-06 17:51:18,2025-05-06 17:51:28.190,2025-05-06 17:51:18,171.00000,-12.08727,-45.77063,2,11654,GTERI,T,T1,17,0.0,T1_17
2373,TDD0A35,212794,2025-05-06 17:51:48,2025-05-06 17:51:49.660,2025-05-06 17:51:49,261.00000,-12.08748,-45.77163,0,12786,GTIGF,X,NA,0,1.0,NA_0
2374,TDD0A35,212794,2025-05-06 17:51:49,2025-05-06 17:51:50.990,2025-05-06 17:51:50,261.00000,-12.08748,-45.77163,0,12818,GTERI,T,NA,0,1.0,NA_0
2375,TDD0A35,212794,2025-05-06 17:51:49,2025-05-06 17:51:52.480,2025-05-06 17:51:51,261.00000,-12.08748,-45.77163,0,12818,GTIGN,X,NA,0,2.0,NA_0
2378,TDD0A35,212794,2025-05-06 17:51:59,2025-05-06 17:52:00.217,2025-05-06 17:51:59,353.00000,-12.08749,-45.77161,0,12284,GTERI,T,NA,0,0.0,NA_0
